### fp16  (M=N=2048, K=4096)

metric                           tilelang    tilelang_ws         triton         cutile
duration_us                     71,360.00      60,992.00      55,680.00      34,272.00
cycles                         126,883.00     109,507.00      99,474.00      57,937.00
grid                                  256            256             64            256
block                                 256            384            128            256
waves                                0.86           1.73           0.43           1.73
regs_per_thread                        74            168            255            255
smem_per_block                      1,024          1,024              0        229,572
smem_dynamic                       98,304         98,304        196,656              0
sm_throughput_pct                   27.60          32.40          30.49          53.84
mem_throughput_pct                  22.43          28.05          16.71          53.25
tensor_pipe_hmma_pct                 0.87           1.03           1.19           2.11
tensor_pipe_imma_pct                 0.00           0.00           0.00           0.00
mem_tensor_active_pct               28.70          33.98          76.87          69.20
shared_pipe_pct                     27.94          33.08          75.93          67.38
alu_pct                              9.23          10.94           1.80           2.03
lsu_pct                             11.35           1.24           0.68           0.48
adu_pct                              7.68           8.38           3.92           4.21
inst_executed_warp                      -              -              -              -
ipc_active                           0.72           0.79           0.22           0.36
occupancy_pct                       12.40          18.28           6.25          10.55
active_warps_per_sched                  -              -              -              -
eligible_warps_per_sched                -              -              -              -
issue_active_pct                        -              -              -              -
dram_bytes_read                         -              -              -              -

stall (warps/issue-active)       tilelang    tilelang_ws         triton         cutile
barrier                              1.62           0.11           6.22           0.18
long_scoreboard                      4.83           9.89           7.42          14.67
short_scoreboard                     0.14           0.42           1.29           0.64
wait                                 1.39           1.86           1.17           1.46
no_instruction                       0.19           0.26           0.22           0.60
not_selected                         0.30           0.25           0.00           0.00
math_pipe_throttle                   0.15           0.10           0.00           0.00
mio_throttle                         0.04           0.02           0.89           0.08
lg_throttle                          0.22           0.00           0.00           0.00
dispatch_stall                       0.12           0.01           0.01           0.06
drain                                0.00           0.00           0.00           0.06
branch_resolving                     0.83           0.76           0.09           0.16
misc                                 0.05           0.03           0.00           0.00


### fp8  (M=N=2048, K=4096)

metric                           tilelang    tilelang_ws         triton         cutile
duration_us                     34,176.00      33,376.00      30,592.00      18,016.00
cycles                          62,496.00      60,883.00      55,132.00      30,281.00
grid                                  128            128             64            128
block                                 256            384            128            256
waves                                0.86           0.86           0.43           0.86
regs_per_thread                       137            168            255            255
smem_per_block                      1,024          1,024              0        229,604
smem_dynamic                       73,728         73,728        196,656              0
sm_throughput_pct                   30.21          30.77          27.51          48.67
mem_throughput_pct                  18.90          19.29          14.90          39.11
tensor_pipe_hmma_pct                 0.48           0.48           1.13           1.14
tensor_pipe_imma_pct                 0.00           0.00           0.00           0.00
mem_tensor_active_pct               32.09          32.33          73.83          73.35
shared_pipe_pct                     30.44          30.67          72.40          72.73
alu_pct                             10.83          12.20           2.44           2.82
lsu_pct                             10.46           1.15           0.37           0.52
adu_pct                              7.16           7.74           4.08           4.57
inst_executed_warp                      -              -              -              -
ipc_active                           0.68           0.76           0.23           0.34
occupancy_pct                       12.48          17.92           6.22          10.70
active_warps_per_sched                  -              -              -              -
eligible_warps_per_sched                -              -              -              -
issue_active_pct                        -              -              -              -
dram_bytes_read                         -              -              -              -

stall (warps/issue-active)       tilelang    tilelang_ws         triton         cutile
barrier                              1.90           0.10           5.53           0.19
long_scoreboard                      5.47           9.84           6.89          15.99
short_scoreboard                     0.11           0.51           1.18           0.80
wait                                 1.30           1.81           1.17           1.50
no_instruction                       0.28           0.34           0.40           1.14
not_selected                         0.31           0.29           0.00           0.01
math_pipe_throttle                   0.16           0.16           0.00           0.00
mio_throttle                         0.27           0.02           0.82           0.01
lg_throttle                          0.13           0.00           0.00           0.00
dispatch_stall                       0.08           0.04           0.01           0.05
drain                                0.00           0.00           0.00           0.08
branch_resolving                     0.63           0.73           0.09           0.19
misc                                 0.05           0.03           0.00           0.04

