===== tl_fp8 =====
Kernel: kern_kernel

launch__grid_size                                                                               = 256
launch__block_size                                                                              = 384
launch__grid_dim_x                                                                              = 16
launch__grid_dim_y                                                                              = 16
launch__grid_dim_z                                                                              = 1
launch__block_dim_x                                                                             = 384
launch__waves_per_multiprocessor                                                                = 1.7297297297297298
launch__registers_per_thread                                                                    = 168
launch__shared_mem_per_block                                                                    = 198656
launch__thread_count                                                                            = 98304
launch__occupancy_limit_blocks                                                                  = 32.0
launch__occupancy_limit_registers                                                               = 1.0
launch__occupancy_limit_shared_mem                                                              = 1.0
launch__occupancy_limit_warps                                                                   = 5.0
device__attribute_multiprocessor_count                                                          = 148
device__attribute_max_warps_per_multiprocessor                                                  = 64
gpu__time_duration.sum                                                                          = 46560.0
smsp__cycles_active.avg                                                                         = None
sm__throughput.avg.pct_of_peak_sustained_elapsed                                                = 40.18837639045493
gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed                                = 17.366542573882292
gpu__compute_memory_access_throughput.avg.pct_of_peak_sustained_elapsed                         = None
l1tex__throughput.avg.pct_of_peak_sustained_active                                              = 33.134167060778964
sm__maximum_warps_per_active_cycle_pct                                                          = 18.75
sm__warps_active.avg.pct_of_peak_sustained_active                                               = 17.01376757574066
sm__warps_active.avg.per_cycle_active                                                           = 10.888811248474022
sm__warps_active.max.per_cycle_active                                                           = 12.651734848971603
sm__warps_active.min.per_cycle_active                                                           = 6.350716195961411
smsp__warps_active.avg.per_cycle_active                                                         = None
smsp__warps_eligible.avg.per_cycle_active                                                       = None
smsp__warps_eligible.max.per_cycle_active                                                       = None
sm__inst_executed.avg.per_cycle_active                                                          = 0.525761988474717
smsp__issue_active.avg.per_cycle_active                                                         = 0.13312491100904075
smsp__issue_active.avg.pct_of_peak_sustained_active                                             = None
smsp__inst_executed.avg                                                                         = None
sm__inst_executed_pipe_fma.avg.pct_of_peak_sustained_active                                     = 3.2512631781847525
sm__inst_executed_pipe_fma.avg.pct_of_peak_sustained_elapsed                                    = 2.5557560565818056
