### fp16  (M=N=4096, K=2048, matched tuned tile)

metric                        tilelang_ws         triton         cutile
duration_us                     76,960.00      61,856.00      57,824.00
cycles                         135,351.00     100,490.00      97,078.00
grid                                  256            256            256
block                                 384            128            256
waves                                1.73           1.73           1.73
regs_per_thread                       168            255            255
smem_per_block                      1,024              0        229,604
smem_dynamic                      196,608        196,656              0
sm_throughput_pct                   45.43          58.15          59.88
mem_throughput_pct                  26.85          36.69          37.14
tensor_pipe_hmma_pct                 0.84           1.12           1.22
tensor_pipe_imma_pct                 0.00           0.00           0.00
mem_tensor_active_pct               54.68          73.12          78.43
shared_pipe_pct                     53.95          71.86          77.82
alu_pct                              6.49           2.42           2.22
lsu_pct                              0.72           1.30           0.85
adu_pct                              3.79           4.04           2.35
inst_executed_warp                      -              -              -
ipc_active                           0.38           0.24           0.19
occupancy_pct                       17.70           6.22          10.60
active_warps_per_sched                  -              -              -
eligible_warps_per_sched                -              -              -
issue_active_pct                        -              -              -
dram_bytes_read                         -              -              -

stall (warps/issue-active)    tilelang_ws         triton         cutile
barrier                              0.18           5.13           0.20
long_scoreboard                     21.61           6.60          28.81
short_scoreboard                     1.89           1.36           2.41
wait                                 1.85           1.27           1.43
no_instruction                       0.42           0.23           0.71
not_selected                         0.20           0.00           0.01
math_pipe_throttle                   0.12           0.00           0.00
mio_throttle                         0.44           1.07           0.87
lg_throttle                          1.09           0.00           0.00
dispatch_stall                       0.02           0.01           0.04
drain                                0.00           0.00           0.05
branch_resolving                     0.95           0.09           0.21
misc                                 0.05           0.00           0.05


### fp8  (M=N=4096, K=2048, matched tuned tile)

metric                           tilelang    tilelang_ws         triton         cutile
duration_us                     50,816.00      46,560.00      34,304.00      32,704.00
cycles                          90,705.00      84,167.00      57,373.00      56,208.00
grid                                  256            256            256            256
block                                 256            384            128            256
waves                                1.73           1.73           1.73           1.73
regs_per_thread                       220            168            255            255
smem_per_block                      1,024          1,024              0        229,540
smem_dynamic                      196,608        196,608        196,656              0
sm_throughput_pct                   36.72          40.19          50.72          52.52
mem_throughput_pct                  15.91          17.37          24.56          25.86
tensor_pipe_hmma_pct                 0.64           0.69           1.03           1.10
tensor_pipe_imma_pct                 0.00           0.00           0.00           0.00
mem_tensor_active_pct               43.17          46.91          68.23          71.19
shared_pipe_pct                     40.66          44.18          66.07          70.09
alu_pct                             13.85          13.69           3.55           3.61
lsu_pct                              6.87           0.67           0.67           0.84
adu_pct                              3.07           3.63           4.33           2.69
inst_executed_warp                      -              -              -              -
ipc_active                           0.58           0.53           0.26           0.22
occupancy_pct                       12.34          17.01           6.19          10.43
active_warps_per_sched                  -              -              -              -
eligible_warps_per_sched                -              -              -              -
issue_active_pct                        -              -              -              -
dram_bytes_read                         -              -              -              -

stall (warps/issue-active)       tilelang    tilelang_ws         triton         cutile
barrier                              2.33           0.21           4.33           0.26
long_scoreboard                      6.70          14.96           5.94          23.17
short_scoreboard                     0.57           0.79           1.17           2.09
wait                                 1.11           1.62           1.25           1.71
no_instruction                       0.32           0.39           0.40           1.14
not_selected                         0.36           0.40           0.00           0.01
math_pipe_throttle                   0.31           0.36           0.00           0.00
mio_throttle                         0.03           0.05           0.89           0.67
lg_throttle                          0.32           0.00           0.00           0.00
dispatch_stall                       0.12           0.12           0.01           0.04
drain                                0.00           0.00           0.00           0.06
branch_resolving                     0.37           0.58           0.09           0.22
misc                                 0.06           0.08           0.00           0.07

