operator,category,torch_cases_recorded,torch_cases_ok,torch_latency_ms_geomean,torch_speedup_vs_torch_geomean,torch_roofline_utilization_mean,torch_bandwidth_GBs_geomean,torch_tflops_geomean,triton_cases_recorded,triton_cases_ok,triton_latency_ms_geomean,triton_speedup_vs_torch_geomean,triton_roofline_utilization_mean,triton_bandwidth_GBs_geomean,triton_tflops_geomean,cutile_cases_recorded,cutile_cases_ok,cutile_latency_ms_geomean,cutile_speedup_vs_torch_geomean,cutile_roofline_utilization_mean,cutile_bandwidth_GBs_geomean,cutile_tflops_geomean,tilelang_cases_recorded,tilelang_cases_ok,tilelang_latency_ms_geomean,tilelang_speedup_vs_torch_geomean,tilelang_roofline_utilization_mean,tilelang_bandwidth_GBs_geomean,tilelang_tflops_geomean,tilelang_vs_triton_speedup,tilelang_vs_cutile_speedup
1d_conv,Stencil/Conv,40,40,2.2126198700685364,1.0,0.0034529551884980914,21.231195572908366,0.9532861764579281,40,40,0.23536314268028674,9.40087664054572,0.03155052885165875,199.59185051221195,8.96172574801848,40,40,0.2168465062444678,10.203622407335814,0.037235362430947536,216.63510288225655,9.726972190709597,40,40,0.2136904622967746,10.354322070751271,0.03670256404445703,219.8346369090019,9.870632096640419,1.1014209064390201,1.0147692316904162
2d_conv,Stencil/Conv,40,40,0.03458157077655381,1.0,0.13496942519254868,415.93441496191156,150.55672367574414,40,40,0.1465424542731479,0.2359832919960209,0.026772133827259174,98.15357249715085,35.52887128513733,40,40,0.235419166173462,0.14689360827602851,0.017644563379403167,61.0981070199341,22.115820390947018,40,40,0.24041465691270883,0.1438413581793804,0.01743542624180849,59.82857116166732,21.656283616556703,0.6095404338278568,0.9792213552892467
2d_max_pooling,Stencil/Conv,60,60,0.12991183867674058,1.0,0.14467843372662412,876.6313350083562,0.6262044765212483,60,60,0.04917530832519578,2.6418103536359148,0.4024665801382145,2315.8937371467514,1.654313469566992,60,60,0.06416476203049919,2.0246601805363214,0.30745759223359,1774.8805570018155,1.2678512684861631,60,60,0.03563736799447824,3.645382529284135,0.5298835980466351,3195.656553262491,2.282754858470076,1.3798804763812846,1.8004910474993852
3d_conv,Stencil/Conv,40,40,0.6801634636123949,1.0,0.006026298668261068,36.59478296506178,0.33976548087171293,40,40,0.0510081559982711,13.334406043524668,0.08619557201765564,487.9696951307932,4.530570881516834,40,40,0.04712909120784711,14.431924023587923,0.09192154681474583,528.1331274114609,4.903469605778376,40,40,0.04878923755837607,13.940850434454577,0.08963118159575403,510.1623959972525,4.736619751623088,1.0454796703318043,0.9659731032168192
argmax,Reduction/Norm,40,40,0.03312300818216272,1.0,0.25444529336113114,1487.138309395461,0.5257827915679142,40,40,0.016605180250422874,1.9947394537508367,0.4685939593983243,2966.4534589354453,1.0487996784437712,40,40,0.01580352332934104,2.0959255408992292,0.4986622506330449,3116.9311655116508,1.1020015818124873,40,40,0.014130446878536153,2.3440878032297663,0.5473150111582983,3485.982772769631,1.232481028862446,1.175134827168544,1.1184022320869593
batch_normalization,Reduction/Norm,60,60,0.16870859451303308,1.0,0.07346228117148604,381.0795443590929,0.20161784637408406,60,60,0.04945706909908861,3.411212948648874,0.2119710112425132,1299.9434761829505,0.6877614082299749,60,60,0.06000443611584144,2.8116020320119848,0.17467261544296425,1071.4440212782267,0.5668691465552549,60,60,0.05393847590635242,3.1277968403472065,0.19380503692769155,1191.939394767324,0.6306196628464688,0.916916324906095,1.1124607269219229
batched_matmul,Matrix Mult./Attn,60,60,0.008540387245354714,1.0,0.3894268065772143,2000.2276003560396,140.62775322358564,60,60,0.010694271322302317,0.7985945921854634,0.2969572805103266,1597.3709447844408,112.30456323554735,60,60,0.012262372948803474,0.6964710077740756,0.25875665571767625,1393.1005325974936,97.94315300863465,60,60,0.01330616154733743,0.6418370327890426,0.23215435094679313,1283.8201479152679,90.26009985681588,0.8037082132406732,0.9215559953318906
bitonic_sort,Data Layout,40,40,101.57620907203939,1.0,3.826939460169982e-05,0.23123801032669014,4.0877491292521864e-05,40,40,2.7448159910092813,37.00656415758104,0.0013943866577979106,8.557324264826047,0.0015127355041176706,40,40,2.7361932891469056,37.123184781916116,0.0013927905873419282,8.58429138596034,0.0015175026626734558,40,40,2.7093411722652547,37.49111042634488,0.0014383595996220549,8.669369779926223,0.0015325425399998899,1.0130935221843496,1.0099109396618366
block_sparse_attention,Matrix Mult./Attn,20,20,9.910636984157108,1.0,0.0007489727064329143,4.393135308806174,0.6593423282415865,20,20,0.035839891495880315,276.5253065929708,0.18838327778544253,1214.8130881720326,182.3248394667279,20,20,0.12057797484135255,82.1927636220195,0.05531670594619562,361.08393199625374,54.193168131152746,20,20,0.09797585535789384,101.15387049140583,0.06808532950948958,444.3826400782022,66.69502848045147,0.36580330291541285,1.2306907084495045
cross_entropy,Reduction/Norm,40,40,0.011268431852734446,1.0,0.11006052812676419,550.6892374358961,0.7727564906432941,40,40,0.004114014619220578,2.7390354424334347,0.2620609086649979,1508.3573391035595,2.116607416242463,40,40,0.006102200971090744,1.84661762307056,0.17502525766923918,1016.9124506844141,1.4269857539640673,40,40,0.00428603603093443,2.629103388633375,0.25173915936999525,1447.818940226643,2.031656708138719,0.9598646837142083,1.4237400075613358
