operator,category,case_index,dtype,backend,ok,latency_ms,speedup_vs_torch,bandwidth_GBs,tflops,roofline_utilization
1d_conv,Stencil/Conv,0,fp16,torch,True,0.2779,1.0,14.393673983447284,0.9138826772220223,0.0022010695145498493
1d_conv,Stencil/Conv,0,fp16,triton,True,0.0293,9.484641638225256,136.5188395904437,8.667849692832764,0.020876355566327748
1d_conv,Stencil/Conv,0,fp16,cutile,True,0.041,6.778048780487804,97.5610243902439,6.194341365853658,0.014918956538863487
1d_conv,Stencil/Conv,0,fp16,tilelang,True,0.0306296,9.072922924230156,130.59269464831405,8.291587092224514,0.019970134056383468
1d_conv,Stencil/Conv,1,fp32,torch,True,0.2694,1.0,29.695634743875278,0.94271713437268,0.004541033541896088
1d_conv,Stencil/Conv,1,fp32,triton,True,0.0355,7.588732394366197,225.3522253521127,7.15402805633803,0.034460688343290316
1d_conv,Stencil/Conv,1,fp32,cutile,True,0.0289,9.321799307958477,276.8167474048443,8.787819930795848,0.04233060332826319
1d_conv,Stencil/Conv,1,fp32,tilelang,True,0.02684216,10.03645012174877,298.0387569405741,9.461533498049338,0.04557585664442825
1d_conv,Stencil/Conv,2,fp16,torch,True,0.5445,1.0,14.692382001836547,0.9329072470156107,0.002246747714138384
1d_conv,Stencil/Conv,2,fp16,triton,True,0.0547,9.954296160877513,146.2523217550274,9.286435027422304,0.022364792145308045
1d_conv,Stencil/Conv,2,fp16,cutile,True,0.0677,8.042836041358937,118.16841949778436,7.503220029542098,0.018070223491113004
1d_conv,Stencil/Conv,2,fp16,tilelang,True,0.05764433,9.445855299211562,138.7821143900883,8.812106862895275,0.02122245380158552
1d_conv,Stencil/Conv,3,fp32,torch,True,0.5327,1.0,30.035674863900883,0.9535723596771166,0.0045930322145611045
1d_conv,Stencil/Conv,3,fp32,triton,True,0.0659,8.083459787556903,242.79216995447646,7.70816382397572,0.03712759120935812
1d_conv,Stencil/Conv,3,fp32,cutile,True,0.0525,10.146666666666667,304.761980952381,9.675580876190477,0.04660396687041334
1d_conv,Stencil/Conv,3,fp32,tilelang,True,0.050441559999999996,10.560736027989618,317.19883366018024,10.0704259741372,0.048505800786032394
1d_conv,Stencil/Conv,4,fp16,torch,True,0.8116,1.0,14.785611138491866,0.9388467175948743,0.002261004241748764
1d_conv,Stencil/Conv,4,fp16,triton,True,0.0798,10.170426065162907,150.3759649122807,9.548471127819548,0.022995376473725525
1d_conv,Stencil/Conv,4,fp16,cutile,True,0.0933,8.69882100750268,128.61738478027868,8.166859549839229,0.019668071196176817
