operator,mode,dtype,params,baseline_present,descriptor_present,baseline_torch_ms,descriptor_torch_ms,baseline_triton_ms,descriptor_triton_ms,baseline_cutile_ms,descriptor_cutile_ms,baseline_speedup_triton,descriptor_speedup_triton,baseline_speedup_cutile,descriptor_speedup_cutile,torch_ms_delta_pct,triton_ms_delta_pct,cutile_ms_delta_pct,descriptor_vs_baseline_speedup
argmax,default,fp16,N=1024,1,1,0.0086,0.0086,0.0067,0.01,0.0064,0.0064,1.28,0.86,1.35,1.35,0.00,49.25,0.00,0.67
argmax,default,fp16,N=10240,1,1,0.0329,0.0329,0.0526,0.0694,0.0607,0.0607,0.62,0.47,0.54,0.54,0.00,31.94,0.00,0.757925
argmax,default,fp16,N=11264,1,1,0.035,0.035,0.0574,0.0758,0.0663,0.0664,0.61,0.46,0.53,0.53,0.00,32.06,0.15,0.757256
argmax,default,fp16,N=12288,1,1,0.0364,0.0364,0.0615,0.0815,0.0715,0.0717,0.59,0.45,0.51,0.51,0.00,32.52,0.28,0.754601
argmax,default,fp16,N=13312,1,1,0.0385,0.0385,0.0667,0.088,0.0775,0.0776,0.58,0.44,0.5,0.5,0.00,31.93,0.13,0.757955
argmax,default,fp16,N=14336,1,1,0.0399,0.0398,0.0717,0.0945,0.0835,0.0835,0.56,0.42,0.48,0.48,-0.25,31.80,0.00,0.75873
argmax,default,fp16,N=15360,1,1,0.042,0.042,0.0765,0.101,0.089,0.0891,0.55,0.42,0.47,0.47,0.00,32.03,0.11,0.757426
argmax,default,fp16,N=16384,1,1,0.0434,0.0434,0.0809,0.1067,0.0943,0.0944,0.54,0.41,0.46,0.46,0.00,31.89,0.11,0.758201
argmax,default,fp16,N=17408,1,1,0.0455,0.0455,0.0862,0.1135,0.1002,0.1002,0.53,0.4,0.45,0.45,0.00,31.67,0.00,0.759471
argmax,default,fp16,N=18432,1,1,0.0468,0.0468,0.091,0.1198,0.1058,0.1058,0.51,0.39,0.44,0.44,0.00,31.65,0.00,0.759599
argmax,default,fp16,N=19456,1,1,0.0489,0.0489,0.0955,0.1258,0.1111,0.1112,0.51,0.39,0.44,0.44,0.00,31.73,0.09,0.759141
argmax,default,fp16,N=2048,1,1,0.014,0.014,0.012,0.0166,0.0133,0.0133,1.17,0.84,1.06,1.06,0.00,38.33,0.00,0.722892
argmax,default,fp16,N=20480,1,1,0.0503,0.0503,0.1001,0.1319,0.1166,0.1168,0.5,0.38,0.43,0.43,0.00,31.77,0.17,0.758908
argmax,default,fp16,N=3072,1,1,0.0196,0.0196,0.0179,0.0237,0.0199,0.02,1.09,0.83,0.98,0.98,0.00,32.40,0.50,0.755274
