op,model,backend,token_cost,best_speedup_old,torch_factor,best_speedup,token_efficiency
1d_conv,claude-opus-4-7,triton,854813.0,59.748154774468716,5.467406756223608,326.66746508582406,382.1507921449768
1d_conv,claude-opus-4-7,cutile,854813.0,62.67801164300412,5.467406756223608,342.6861843236227,400.8902348509237
1d_conv,gpt-5.5,triton,650687.0,84.5522270856316,5.467406756223608,462.28141762173493,710.45128859457
1d_conv,gpt-5.5,cutile,650687.0,92.9925470937579,5.467406756223608,508.428080258854,781.3711973020115
2d_conv,claude-opus-4-7,triton,869450.0,6.65863660256294,0.8142442455462047,5.4217565368202045,6.23584626697361
2d_conv,claude-opus-4-7,cutile,869450.0,19.62471050918366,0.8142442455462047,15.979307602612923,18.37863891266079
2d_conv,gpt-5.5,triton,663486.0,5.446700368302897,0.8142442455462047,4.434944432105028,6.6843074791405215
2d_conv,gpt-5.5,cutile,663486.0,5.813320549812651,0.8142442455462047,4.73346280520045,7.1342316268925785
2d_max_pooling,claude-opus-4-7,triton,745642.0,5.803715116334906,0.6664435610586762,3.8678485695003038,5.187272939963553
2d_max_pooling,claude-opus-4-7,cutile,745642.0,1.8276881277941066,0.6664435610586762,1.2180509843917693,1.633560052131947
2d_max_pooling,gpt-5.5,triton,685371.0,9.439883539781599,0.6664435610586762,6.29114960223123,9.17918850116394
2d_max_pooling,gpt-5.5,cutile,685371.0,4.60730462205864,0.6664435610586762,3.0705084992068583,4.480067728583291
3d_conv,claude-opus-4-7,triton,699718.0,19.056086190358254,117.61577759565378,2241.2963952087857,3203.142401951623
3d_conv,claude-opus-4-7,cutile,699718.0,19.02963548529627,117.61577759565378,2238.185374964967,3198.6962961721256
3d_conv,gpt-5.5,triton,703441.0,57.494380432810004,117.61577759565378,6762.24626198529,9613.096566713186
3d_conv,gpt-5.5,cutile,703441.0,19.273140167449338,117.61577759565378,2266.8253675045826,3222.4811569194612
argmax,claude-opus-4-7,triton,647337.0,1.6781145789154175,1.0,1.6781145789154175,2.592335335251063
argmax,claude-opus-4-7,cutile,647337.0,1.6682572315570279,1.0,1.6682572315570279,2.5771077994259985
argmax,gpt-5.5,triton,674387.0,1.974125700330131,1.0,1.974125700330131,2.9272890793122213
argmax,gpt-5.5,cutile,674387.0,1.8419580675233516,1.0,1.8419580675233516,2.7313071982753994
batch_normalization,claude-opus-4-7,triton,723688.0,15.48128175330252,0.3505638656853402,5.427177977201652,7.499333935620948
batch_normalization,claude-opus-4-7,cutile,723688.0,11.359387715799741,0.3505638656853402,3.9821908694693238,5.502634933105598
batch_normalization,gpt-5.5,triton,657846.0,9.595271611505378,0.3505638656853402,3.3637555084301294,5.113287165126989
batch_normalization,gpt-5.5,cutile,657846.0,9.711900288237658,0.3505638656853402,3.404641308195163,5.175438184917386
batched_matmul,claude-opus-4-7,triton,769677.0,11.253150240270767,0.07667805429096165,0.86286966506783,1.121080225949106
