operator,category,representative_dtype,representative_case,torch_baseline_class,torch_internal_path,torch_vs_dsl_primary_explanation,triton_cutile_algorithm_aligned,triton_cutile_task_decomposition_aligned,triton_cutile_precision_aligned,triton_cutile_hardware_path_aligned,faster_backend,csv_gap_ratio,primary_backend_gap_mechanism,secondary_backend_gap_mechanism,triton_csv_latency,cutile_csv_latency,torch_csv_latency,cutile_over_triton_instruction_ratio,triton_tensor_pipeline_pct,cutile_tensor_pipeline_pct,triton_alu_pipeline_pct,cutile_alu_pipeline_pct,triton_registers_per_thread,cutile_registers_per_thread,triton_smem_per_cta,cutile_smem_per_cta,triton_achieved_occupancy,cutile_achieved_occupancy,triton_bank_conflict_pct,cutile_bank_conflict_pct,triton_tma_path,cutile_tma_path,triton_mma_path,cutile_mma_path,key_stall_evidence,memory_transaction_evidence,report_section_or_page,relevant_code_paths,confidence,recommended_paper_location
1d_conv,Stencil/Conv,fp16,L=2621440,vendor_library_kernel,"F.conv1d -> cuDNN convolution kernel (+ layout-conversion kernels; report p1: >1 ms of PyTorch latency in layout conversion, conv kernel ~0.3 ms)","cuDNN convolution-specific kernels (hardware-friendly iterators, weight-stationary, favorable layouts) vs matched implicit-GEMM DSL kernels that reconstruct im2col indices in-kernel; PyTorch ~1.9x faster than Triton at largest fp16 case (p2)",yes (matched implicit-GEMM formulation),yes,"yes (FP32 accumulation, TF32/HMMA MMA)",partial (report p1: cuTile falls back to legacy HMMA for selected 1D tile shapes; Triton tcgen05 throughout),triton,1.7875004969586135 (cutile/triton at representative case; CSV),gather_scatter_lowering,dynamic_indexing,2.5153 ms,4.4961 ms,1.2986 ms,"2.4x (report p1: cuTile/Triton dynamic instructions, 1D)","0.9-15% (report p1: range over the convolution family, per-backend split not stated)","0.9-15% (report p1: range over the convolution family, per-backend split not stated)","60-74% (report p1: range over the convolution family, per-backend split not stated)","60-74% (report p1: range over the convolution family, per-backend split not stated)",NA,"NA (report p2: cuTile uses substantially fewer registers than Triton, no number for 1D)",NA,NA,NA,NA,"5.298 (C_LSU, Figures/_data_ncu_conflict.csv, primary kernel, dtype=fp16)","5.083 (C_LSU, Figures/_data_ncu_conflict.csv, primary kernel, dtype=fp16)",no TMA in report (pointer tiles + tl.load/tl.dot),"no TMA in report (ct.gather + ct.mma, ct.scatter output)",tcgen05 (report p1),legacy HMMA (report p1: fallback for selected 1D tile shapes),report p1: substantial long-scoreboard stalls around the cuTile MMA region (MMA waits on gather+staging); Triton fp32 shared-memory staging bank conflicts 54.5% (p2). C_LSU from Figures/_data_ncu_conflict.csv also listed in bank-conflict columns.,report p1-2: cuTile executes ~2.4x dynamic instructions (gather->mask->staging->mma chain); Triton FP32 smem staging conflicts 54.5% vs ~3-7% for FP16,NVIDIA_Report(2).pdf p1-2,"benchmarks/operators/1d_conv/impl_triton.py:tl.load,tl.dot ; impl_cutile.py:ct.gather,ct.where,ct.mma,ct.scatter",high,Appendix E.2
2d_conv,Stencil/Conv,fp16,H=320,vendor_library_kernel,F.conv2d -> cuDNN Blackwell tensor-op convolution kernel (report p1: conv body ~53 us vs ~539 us Triton at the same large case; plus layout-conversion overhead),cuDNN specialized Blackwell tensor-op conv kernel keeps indexing machinery out of the arithmetic path; PyTorch ~5.5x faster than Triton at largest fp16 case (p2),yes (matched implicit-GEMM),yes,yes,partial (report p1: cuTile legacy HMMA for selected 2D tile shapes; Triton tcgen05),triton,1.4509840326773116 (cutile/triton at representative case; CSV),gather_scatter_lowering,dynamic_indexing,0.5386 ms,0.7815 ms,0.098 ms,2.3x (report p1),"0.9-15% (report p1: range over the convolution family, per-backend split not stated)","0.9-15% (report p1: range over the convolution family, per-backend split not stated)","60-74% (report p1: range over the convolution family, per-backend split not stated)","60-74% (report p1: range over the convolution family, per-backend split not stated)",NA,NA,NA,NA,NA,NA,"6.773 (C_LSU, Figures/_data_ncu_conflict.csv, primary kernel, dtype=fp16)","0.1323 (C_LSU, Figures/_data_ncu_conflict.csv, primary kernel, dtype=fp16)",no TMA in report,no TMA in report,tcgen05 (report p1),legacy HMMA (report p1: 2D selected tile shapes),report p1: long-scoreboard stalls attributed around cuTile MMA region; Triton FP32 smem staging bank conflicts 52.0% (p2),report p1-2: 2.3x dynamic-instruction ratio; conv body 53 us (cuDNN) vs 539 us (Triton),NVIDIA_Report(2).pdf p1-2,"benchmarks/operators/2d_conv/impl_triton.py:tl.load,tl.dot ; impl_cutile.py:ct.gather,ct.where,ct.mma,ct.scatter",high,Appendix E.2
2d_max_pooling,Stencil/Conv,fp16,H=640,generic_aten_kernel,F.max_pool2d -> generic max_pool2d_with_indices-style kernel (int64 index logic even for values-only; report p14),"report p14: generic maxpool-with-indices path is compute-bound on ALU/index work (fp16~fp32 time, high compute util, low DRAM/L1)","yes (2D output tile, per-tap shifted window)",yes,yes,yes (no TC/TMA),triton,1.3906792265741201 (cutile/triton at representative case; CSV),gather_scatter_lowering,register_pressure,0.2017 ms,0.2805 ms,0.6836 ms,NA,NA,NA,NA,NA,NA,NA (report p15: higher register pressure - qualitative),NA,NA,NA,NA,"1.173 (C_LSU, Figures/_data_ncu_conflict.csv, primary kernel, dtype=fp16)","1.064 (C_LSU, Figures/_data_ncu_conflict.csv, primary kernel, dtype=fp16)",none,"none (broadcast-index ct.gather; ct.load box load cannot express strided shifted access with -inf padding, report p15)",none,none,report p15: ct.gather lowering heavier than Triton 2D vectorized pointer load + higher register pressure -> fewer resident blocks,report p15: Triton highest L1/DRAM utilization (no numbers),NVIDIA_Report(2).pdf p14-15,"benchmarks/operators/2d_max_pooling/impl_triton.py:tl.load(mask),tl.max ; impl_cutile.py:ct.gather,ct.max",medium,mechanism table only
3d_conv,Stencil/Conv,fp16,H=320,vendor_library_kernel,F.conv3d -> cuDNN convolution kernel (+ layout conversion),"cuDNN specialized conv kernels; PyTorch ~9.8x faster than Triton at largest fp16 case (p2); DSL cost grows with im2col dimensionality (must recover (d,h,w),(kd,kh,kw))",yes (matched implicit-GEMM),yes,yes,yes (report p1: cuTile reaches tcgen05 in the 3D configuration; Triton tcgen05),triton,2.583211357786126 (cutile/triton at representative case; CSV),gather_scatter_lowering,register_pressure,13.8689 ms,35.8263 ms,1.4166 ms,"3.9x (report p1: ~27.8B vs ~7.2B instructions, fp16)","0.9-15% (report p1: range over the convolution family, per-backend split not stated)","0.9-15% (report p1: range over the convolution family, per-backend split not stated)","60-74% (report p1: range over the convolution family, per-backend split not stated)","60-74% (report p1: range over the convolution family, per-backend split not stated)","up to 255 (report p2, 3D Triton)","NA (report p2: substantially fewer than Triton, no number)","~49 KB (report p2, 3D Triton)",NA,NA (report p2: restricted resident blocks),NA,"3.027 (C_LSU, Figures/_data_ncu_conflict.csv, primary kernel, dtype=fp16)","2.156 (C_LSU, Figures/_data_ncu_conflict.csv, primary kernel, dtype=fp16)",no TMA in report,no TMA in report,tcgen05 (report p1),tcgen05 (report p1: reached in 3D configuration),"report p1-2: cuTile long-scoreboard around MMA region; Triton FP32 smem bank conflicts 79.6%, 255 regs + ~49 KB smem limit resident blocks",report p1: 3.9x dynamic-instruction ratio; cuTile 27.8B vs Triton 7.2B instructions (fp16),NVIDIA_Report(2).pdf p1-2,"benchmarks/operators/3d_conv/impl_triton.py:tl.load,tl.dot ; impl_cutile.py:ct.gather,ct.where,ct.mma,ct.scatter",high,Appendix E.2
argmax,Reduction/Norm,fp32,N=20480,generic_aten_kernel,"torch.argmax -> ATen reduce_kernel<ArgMaxOps> ((value,index) pair reduction; report p16)","report p16: pair-reduction + generic template ALU overhead (compute high, DRAM low, fp16~fp32 time) vs specialized row-wise chunked argmax kernels",yes,yes,yes,yes,cutile,1.1201117318435754 (triton/cutile at representative case; CSV),backend_parity,,0.0401 ms,0.0358 ms,0.0544 ms,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.8099 (C_LSU, Figures/_data_ncu_conflict.csv, primary kernel, dtype=fp32)","2.499 (C_LSU, Figures/_data_ncu_conflict.csv, primary kernel, dtype=fp32)",none,none,none,none,"report p16-17: both DSLs higher effective bandwidth/DRAM utilization than torch; no Triton-vs-cuTile mechanism claimed (CSV: fp16 1.01, fp32 cuTile 1.12x faster)",NA,NVIDIA_Report(2).pdf p16-17,"benchmarks/operators/argmax/impl_triton.py:tl.max,tl.argmax ; impl_cutile.py:ct.max,ct.argmax",medium,mechanism table only
batch_normalization,Reduction/Norm,fp16,N=20000,generic_aten_kernel,F.batch_norm (training stats) -> official fused ATen BatchNorm (single-pass Welford statistics + transform; report p29),report p29: generic fused vendor kernel cannot adapt tile/thread organization to C=1024 shape vs shape-specialized 3-kernel DSL pipeline; Triton 1.3-1.5x faster fp16/bf16,yes (3 kernels: stats / finalize / apply),yes,yes,yes,triton,1.6053639846743293 (cutile/triton at representative case; CSV),shared_memory_staging,register_pressure,0.0261 ms,0.0419 ms,0.1419 ms,NA,NA,NA,NA,NA,"NA (report p29-30: fp32 large 2D tile + two fp32 accumulators raise register pressure, spill risk - qualitative)",NA,NA,NA,NA,NA,"11.05 (C_LSU, Figures/_data_ncu_conflict.csv, primary kernel, dtype=fp16)","0.1518 (C_LSU, Figures/_data_ncu_conflict.csv, primary kernel, dtype=fp16)",none,none,none,none,"report p29-30: fp16/bf16 Triton keeps (STEP,C) sub-tile + accumulators in registers, cuTile smem staging (STS/LDS + sync) -> Triton 1.3-1.5x; fp32 reverses (cuTile ~1.2x faster) as Triton register pressure grows",NA,NVIDIA_Report(2).pdf p29-30,"benchmarks/operators/batch_normalization/impl_triton.py:tl.sum ; impl_cutile.py:ct.gather,ct.load,ct.sum",medium,RQ3 main text
batched_matmul,Matrix Mult./Attn,fp32,M=640,vendor_library_kernel,"torch.matmul on 3D views (TF32 enabled) -> cuBLAS/cuBLASLt batched GEMM (persistent scheduling, warp specialization, cluster/TMA multicast; report p18)","report p17-18: small M DSL tiles fit better; large M cuBLAS kernel organization (persistent, warp-specialized, multicast) wins; DSLs are plain single-CTA tile GEMMs",yes,yes,yes,yes (both TC + TMA descriptors/box loads),triton,1.7637362637362637 (cutile/triton at representative case; CSV),register_pressure,shared_memory_staging,0.0546 ms,0.0963 ms,0.0407 ms,NA,NA,NA (report p18: compute utilization cannot rise - qualitative),NA,NA,"NA (report p18: also high, but keeps better occupancy)","255 (report p18, fp32)",NA,"~180 KB/block (report p18, fp32)",NA,"~1 block/SM (report p18, fp32)","4.116 (C_LSU, Figures/_data_ncu_conflict.csv, primary kernel, dtype=fp32)","47.88 (C_LSU, Figures/_data_ncu_conflict.csv, primary kernel, dtype=fp32)",TensorDescriptor (code),ct.load box loads (code),Tensor-Core MMA (tl.dot; generation not stated in report),Tensor-Core MMA (ct.mma; generation not stated in report),report p18: fp32 cuTile latency-bound at ~1 block/SM (255 regs + ~180 KB smem); fp16/bf16 differences are tile-shape/tuner quantization (128x128 vs 128x64),NA,NVIDIA_Report(2).pdf p17-18,"benchmarks/operators/batched_matmul/impl_triton.py:TensorDescriptor,tl.dot ; impl_cutile.py:ct.load,ct.mma",medium,mechanism table only
bitonic_sort,Data Layout,fp32,n=10000000,eager_multi_kernel,hand-written eager compare-exchange network (~300 passes with index tensors and torch.where) - not torch.sort (report p32) [class harmonized with 03_rq1_operator_points.csv; alternative label: correctness_or_emulation_baseline],report p32: eager per-pass Python dispatch + index tensors + small kernels -> tens-of-x slower; not representative of PyTorch sorting; torch.sort would be a different algorithm,yes (identical bitonic network),yes,yes,partial (cuTile smem staging + gather/scatter vs Triton pointer loads; both XOR-partner sector access),triton,1.0166588456123886 (cutile/triton at representative case; CSV),backend_parity,primitive_availability,8.0978 ms,8.2327 ms,265.137 ms,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2.984 (C_LSU, Figures/_data_ncu_conflict.csv, primary kernel, dtype=fp32)","3.849 (C_LSU, Figures/_data_ncu_conflict.csv, primary kernel, dtype=fp32)",none,none (gather/scatter + smem staging),none,none,"report p32: ~300 serial L2 round trips (each step reads/writes whole array, dependent) - not DRAM bandwidth; both DSLs lack in-tile arbitrary lane permutation to fuse j stages (shared expressiveness limit)",report p32: XOR partner access still maps to regular sector transactions in cuTile; Triton higher L1/memory pipe throughput; net ~equal,NVIDIA_Report(2).pdf p32,"benchmarks/operators/bitonic_sort/impl_triton.py:tl.load,tl.store ; impl_cutile.py:ct.gather,ct.scatter,while-loop",medium,mechanism table only
block_sparse_attention,Matrix Mult./Attn,fp16,M=10240,compiled_general_purpose_kernel,torch.compile(flex_attention) with create_block_mask from the same CSR layout + causal (report p24),"report p24: general-purpose compiled sparse attention (block-mask interpretation, generic sparse scheduling, not specialized to fixed BLOCK_M/N/D, GQA layout, CSR traversal) vs hand-written shape-specialized kernel; ~2x","yes (same CSR traversal, D blocking, online-softmax recurrence)",yes,yes,yes (both TMA + Tensor Core; report p24),triton,3.0780141843971633 (cutile/triton at representative case; CSV),shared_memory_staging,fixed_tile_lowering_overhead,0.0705 ms,0.217 ms,0.1458 ms,2.14x (report p24: warp instructions),NA (report p24: cuTile TC utilization clearly lower - no numbers),NA,NA,NA,NA,NA,NA,~221 KB/CTA (report p24),NA (report p24: cuTile achieved occupancy slightly higher - no numbers),NA,"1.664 (C_LSU, Figures/_data_ncu_conflict.csv, primary kernel, dtype=fp16)","19.25 (C_LSU, Figures/_data_ncu_conflict.csv, primary kernel, dtype=fp16)",TMA descriptor (report p24),TMA (report p24),Tensor Core (report p24; generation not stated),Tensor Core (report p24),report p24: cuTile ~9.5 vs Triton ~4.8 warp-cycles per instruction; higher long-scoreboard and barrier stalls; lower eligible warps and issue-slot utilization; tile data path through ~221 KB/CTA smem staging (LDS/STS + barriers) vs Triton register-resident softmax state,report p24: 2.14x warp instructions for the same block traversal,NVIDIA_Report(2).pdf p24,"benchmarks/operators/block_sparse_attention/impl_triton.py:TensorDescriptor,tl.dot ; impl_cutile.py:ct.load,ct.mma,ct.transpose,while-loop",high,RQ3 main text
cross_entropy,Reduction/Norm,fp16,batch_size=10240,eager_multi_kernel,F.cross_entropy(reduction='none') -> log_softmax + nll_loss with intermediate matrix materialization and extra launch (report p36),report p36: torch-vs-DSL attributed to log_softmax + nll_loss intermediate materialization and extra kernel launch,"yes (one row per CTA, 512 classes, fp32 max/exp/sum/target-logit)",yes,yes,yes (no TC/TMA),triton,1.5394736842105263 (cutile/triton at representative case; CSV),reduction_granularity,shared_memory_staging,0.0076 ms,0.0117 ms,0.019 ms,3.45x (report p36: ~780 vs ~226 instructions per row),NA (not applicable),NA (not applicable),NA,NA,NA,NA,NA,NA,~27% active warps fp16 (~34% fp32) (report p36),~82% active warps (report p36),"0.3665 (C_LSU, Figures/_data_ncu_conflict.csv, primary kernel, dtype=fp16)","1.455 (C_LSU, Figures/_data_ncu_conflict.csv, primary kernel, dtype=fp16)",none,none,none,none,"report p36: Triton single warp/row (16 elements/lane, register + warp-shuffle) vs cuTile 128-thread CTA lower bound -> 4 warps/row, smem-tree cross-warp reduction (~20 extra smem instructions), fragmented global ld/st, sync/address overhead; 3.45x instructions compress to ~1.32x (fp16) / ~1.37x (fp32) NCU (CSV 1.54/1.53)",NA,NVIDIA_Report(2).pdf p36,"benchmarks/operators/cross_entropy/impl_triton.py:tl.max,tl.exp,tl.sum ; impl_cutile.py:ct.gather,ct.max,ct.exp,ct.sum,while-loop",high,RQ3 main text
