operator,backend,default_geomean_roofline_R,autotuned_geomean_roofline_R,autotune_gain,default_latency_geomean,autotuned_latency_geomean,default_in_search_space,final_configuration_selection_rule,winning_configuration,source_file
1d_conv,cutile,0.019775258314575914,0.058664902907580384,2.9665808645513234,6.0961472683040325,2.0549405347917378,yes,core/cutile_autotune.py::CutileAutotuner (ct.tune.exhaustive_search / ct_experimental.autotune_launch) times every SimpleNamespace in the search space and keeps the fastest; the manual default is only compared if it is a member of the space. Not clamped to >= default.,"fp16: {""block_bl"": 32, ""block_in"": 32, ""block_out"": 128, ""occupancy"": 8}; fp32: {""block_bl"": 128, ""block_in"": 32, ""block_out"": 64, ""occupancy"": 4} (sweep-max case per dtype, from tilebench_run/ncu_catalogue.json)","results/csv/<op>_{default,autotune}.csv (90 files) via scripts/analysis/bench_data.py::load_main_table; winners: results/logs/autotune_logs/<op>_autotune.json → tilebench_run/ncu_catalogue.json; membership: benchmarks/operators/<op>/impl_<backend>.py"
1d_conv,triton,0.05850813431542824,0.10323694102124621,1.7644886857043962,2.060446609090038,1.1677301338248556,yes,"triton.autotune (or a module-level _tune_pipeline sweep for streamk_matmul/top_k_selection/multi-kernel ops) benchmarks every Config in the list with its own timing and keeps the fastest; the manual _DEFAULT_CONFIG is NOT automatically a candidate — it is only compared if it happens to be in the list. The autotune-mode CSV then re-times the winner with core/timer.py, so a reported autotuned value can be below the default-mode value (measurement noise or a tuner-side timing artefact) — it is not clamped to >= default.","fp16: {""BLOCK_SIZE_BATCH_LENGTH"": 128, ""BLOCK_SIZE_IN_FEAT"": 32, ""BLOCK_SIZE_OUT_FEAT"": 128, ""num_warps"": 8, ""num_stages"": 3}; fp32: {""BLOCK_SIZE_BATCH_LENGTH"": 64, ""BLOCK_SIZE_IN_FEAT"": 16, ""BLOCK_SIZE_OUT_FEAT"": 128, ""num_warps"": 4, ""num_stages"": 3} (sweep-max case per dtype, from tilebench_run/ncu_catalogue.json)","results/csv/<op>_{default,autotune}.csv (90 files) via scripts/analysis/bench_data.py::load_main_table; winners: results/logs/autotune_logs/<op>_autotune.json → tilebench_run/ncu_catalogue.json; membership: benchmarks/operators/<op>/impl_<backend>.py"
2d_conv,cutile,0.005070489091681716,0.014945081115433386,2.947463419249085,0.6743241222168286,0.2287811674991453,yes,core/cutile_autotune.py::CutileAutotuner (ct.tune.exhaustive_search / ct_experimental.autotune_launch) times every SimpleNamespace in the search space and keeps the fastest; the manual default is only compared if it is a member of the space. Not clamped to >= default.,"fp16: {""block_bhw"": 32, ""block_in"": 32, ""block_out"": 128, ""occupancy"": 4}; fp32: {""block_bhw"": 32, ""block_in"": 32, ""block_out"": 128, ""occupancy"": 4} (sweep-max case per dtype, from tilebench_run/ncu_catalogue.json)","results/csv/<op>_{default,autotune}.csv (90 files) via scripts/analysis/bench_data.py::load_main_table; winners: results/logs/autotune_logs/<op>_autotune.json → tilebench_run/ncu_catalogue.json; membership: benchmarks/operators/<op>/impl_<backend>.py"
2d_conv,triton,0.01059109886682444,0.023325970186073252,2.202412656078542,0.3228327059308673,0.14658138884185315,yes,"triton.autotune (or a module-level _tune_pipeline sweep for streamk_matmul/top_k_selection/multi-kernel ops) benchmarks every Config in the list with its own timing and keeps the fastest; the manual _DEFAULT_CONFIG is NOT automatically a candidate — it is only compared if it happens to be in the list. The autotune-mode CSV then re-times the winner with core/timer.py, so a reported autotuned value can be below the default-mode value (measurement noise or a tuner-side timing artefact) — it is not clamped to >= default.","fp16: {""BLOCK_SIZE_BATCH_HEIGHT_WIDTH"": 128, ""BLOCK_SIZE_IN_FEAT"": 64, ""BLOCK_SIZE_OUT_FEAT"": 64, ""num_warps"": 4, ""num_stages"": 4}; fp32: {""BLOCK_SIZE_BATCH_HEIGHT_WIDTH"": 64, ""BLOCK_SIZE_IN_FEAT"": 16, ""BLOCK_SIZE_OUT_FEAT"": 128, ""num_warps"": 4, ""num_stages"": 3} (sweep-max case per dtype, from tilebench_run/ncu_catalogue.json)","results/csv/<op>_{default,autotune}.csv (90 files) via scripts/analysis/bench_data.py::load_main_table; winners: results/logs/autotune_logs/<op>_autotune.json → tilebench_run/ncu_catalogue.json; membership: benchmarks/operators/<op>/impl_<backend>.py"
2d_max_pooling,cutile,0.25139626310976615,0.27178764775135567,1.0811125208837575,0.06927379803222086,0.06407639972164308,yes,core/cutile_autotune.py::CutileAutotuner (ct.tune.exhaustive_search / ct_experimental.autotune_launch) times every SimpleNamespace in the search space and keeps the fastest; the manual default is only compared if it is a member of the space. Not clamped to >= default.,"fp16: {""tile_r"": 4, ""tile_c"": 128, ""occupancy"": 8}; bf16: {""tile_r"": 4, ""tile_c"": 128, ""occupancy"": 8}; fp32: {""tile_r"": 4, ""tile_c"": 128, ""occupancy"": 8} (sweep-max case per dtype, from tilebench_run/ncu_catalogue.json)","results/csv/<op>_{default,autotune}.csv (90 files) via scripts/analysis/bench_data.py::load_main_table; winners: results/logs/autotune_logs/<op>_autotune.json → tilebench_run/ncu_catalogue.json; membership: benchmarks/operators/<op>/impl_<backend>.py"
2d_max_pooling,triton,0.3191542302425142,0.35418571236875623,1.109763489895223,0.054566639907883484,0.04916961172784237,yes,"triton.autotune (or a module-level _tune_pipeline sweep for streamk_matmul/top_k_selection/multi-kernel ops) benchmarks every Config in the list with its own timing and keeps the fastest; the manual _DEFAULT_CONFIG is NOT automatically a candidate — it is only compared if it happens to be in the list. The autotune-mode CSV then re-times the winner with core/timer.py, so a reported autotuned value can be below the default-mode value (measurement noise or a tuner-side timing artefact) — it is not clamped to >= default.","fp16: {""BLOCK_R"": 1, ""BLOCK_C"": 512, ""num_warps"": 4}; bf16: {""BLOCK_R"": 1, ""BLOCK_C"": 512, ""num_warps"": 4}; fp32: {""BLOCK_R"": 1, ""BLOCK_C"": 512, ""num_warps"": 4} (sweep-max case per dtype, from tilebench_run/ncu_catalogue.json)","results/csv/<op>_{default,autotune}.csv (90 files) via scripts/analysis/bench_data.py::load_main_table; winners: results/logs/autotune_logs/<op>_autotune.json → tilebench_run/ncu_catalogue.json; membership: benchmarks/operators/<op>/impl_<backend>.py"
3d_conv,cutile,0.005678795945413909,0.012606932013314,2.220000883020831,13.98660299951784,6.300269115427464,yes,core/cutile_autotune.py::CutileAutotuner (ct.tune.exhaustive_search / ct_experimental.autotune_launch) times every SimpleNamespace in the search space and keeps the fastest; the manual default is only compared if it is a member of the space. Not clamped to >= default.,"fp16: {""block_bdhw"": 128, ""block_in"": 16, ""block_out"": 64, ""occupancy"": 4}; fp32: {""block_bdhw"": 128, ""block_in"": 16, ""block_out"": 64, ""occupancy"": 4} (sweep-max case per dtype, from tilebench_run/ncu_catalogue.json)","results/csv/<op>_{default,autotune}.csv (90 files) via scripts/analysis/bench_data.py::load_main_table; winners: results/logs/autotune_logs/<op>_autotune.json → tilebench_run/ncu_catalogue.json; membership: benchmarks/operators/<op>/impl_<backend>.py"
3d_conv,triton,0.012315379880338715,0.02755582701620498,2.2375133600383164,6.449420576183752,2.8824053931339697,yes,"triton.autotune (or a module-level _tune_pipeline sweep for streamk_matmul/top_k_selection/multi-kernel ops) benchmarks every Config in the list with its own timing and keeps the fastest; the manual _DEFAULT_CONFIG is NOT automatically a candidate — it is only compared if it happens to be in the list. The autotune-mode CSV then re-times the winner with core/timer.py, so a reported autotuned value can be below the default-mode value (measurement noise or a tuner-side timing artefact) — it is not clamped to >= default.","fp16: {""BLOCK_SIZE_BATCH_DHW"": 128, ""BLOCK_SIZE_IN_FEAT"": 64, ""BLOCK_SIZE_OUT_FEAT"": 64, ""num_warps"": 4, ""num_stages"": 2}; fp32: {""BLOCK_SIZE_BATCH_DHW"": 64, ""BLOCK_SIZE_IN_FEAT"": 64, ""BLOCK_SIZE_OUT_FEAT"": 64, ""num_warps"": 4, ""num_stages"": 2} (sweep-max case per dtype, from tilebench_run/ncu_catalogue.json)","results/csv/<op>_{default,autotune}.csv (90 files) via scripts/analysis/bench_data.py::load_main_table; winners: results/logs/autotune_logs/<op>_autotune.json → tilebench_run/ncu_catalogue.json; membership: benchmarks/operators/<op>/impl_<backend>.py"
argmax,cutile,0.16176833092570145,0.4683524884035625,2.895205048623961,0.046563940510566885,0.016083123553786938,yes,core/cutile_autotune.py::CutileAutotuner (ct.tune.exhaustive_search / ct_experimental.autotune_launch) times every SimpleNamespace in the search space and keeps the fastest; the manual default is only compared if it is a member of the space. Not clamped to >= default.,"fp16: {""block_n"": 2048, ""occupancy"": 16}; fp32: {""block_n"": 2048, ""occupancy"": 32} (sweep-max case per dtype, from tilebench_run/ncu_catalogue.json)","results/csv/<op>_{default,autotune}.csv (90 files) via scripts/analysis/bench_data.py::load_main_table; winners: results/logs/autotune_logs/<op>_autotune.json → tilebench_run/ncu_catalogue.json; membership: benchmarks/operators/<op>/impl_<backend>.py"
argmax,triton,0.16916173912093527,0.45246432702166384,2.6747438834155806,0.04452880998304795,0.016647878048864168,yes,"triton.autotune (or a module-level _tune_pipeline sweep for streamk_matmul/top_k_selection/multi-kernel ops) benchmarks every Config in the list with its own timing and keeps the fastest; the manual _DEFAULT_CONFIG is NOT automatically a candidate — it is only compared if it happens to be in the list. The autotune-mode CSV then re-times the winner with core/timer.py, so a reported autotuned value can be below the default-mode value (measurement noise or a tuner-side timing artefact) — it is not clamped to >= default.","fp16: {""BLOCK_N"": 2048, ""num_warps"": 4, ""num_stages"": 4}; fp32: {""BLOCK_N"": 1024, ""num_warps"": 4, ""num_stages"": 2} (sweep-max case per dtype, from tilebench_run/ncu_catalogue.json)","results/csv/<op>_{default,autotune}.csv (90 files) via scripts/analysis/bench_data.py::load_main_table; winners: results/logs/autotune_logs/<op>_autotune.json → tilebench_run/ncu_catalogue.json; membership: benchmarks/operators/<op>/impl_<backend>.py"
