model,backend,iteration,geomean_correctness_gated_speedup_at_iteration_positive_only,n_positive_at_iteration,geomean_best_so_far_speedup_positive_only,n_best_so_far_positive,geomean_cumulative_token_cost_Mtok,geomean_best_so_far_token_efficiency_positive_only,num_verify_clean_operators,num_faster_than_torch_operators,num_operators_with_row_at_iteration,num_operators_executed_at_iteration,source_file
gpt-5.5,triton,0,4.415856459663718,29,4.415856459663718,29,0.05514441306019848,81.50038348183409,29,26,45,45,results/B200/figures/evaluation/v7/_data_llm_traj.csv (speedup_vs_torch NOT re-based; pre-rebase torch baseline)
gpt-5.5,triton,1,4.9890970208677885,24,4.4290222141467614,40,0.09234648291886237,49.73394130319576,24,20,45,33,results/B200/figures/evaluation/v7/_data_llm_traj.csv (speedup_vs_torch NOT re-based; pre-rebase torch baseline)
gpt-5.5,triton,2,7.9875528625816745,15,4.422241778689896,42,0.12375039004406084,36.7512110929281,15,13,37,30,results/B200/figures/evaluation/v7/_data_llm_traj.csv (speedup_vs_torch NOT re-based; pre-rebase torch baseline)
gpt-5.5,triton,3,7.398767216735942,19,4.7132657744638236,42,0.14899254503009807,32.786710994745086,19,17,37,29,results/B200/figures/evaluation/v7/_data_llm_traj.csv (speedup_vs_torch NOT re-based; pre-rebase torch baseline)
gpt-5.5,triton,4,4.722378521631134,18,4.7872416015531885,42,0.1720644940380077,28.95044562061292,18,13,33,28,results/B200/figures/evaluation/v7/_data_llm_traj.csv (speedup_vs_torch NOT re-based; pre-rebase torch baseline)
gpt-5.5,triton,5,9.17126440972864,17,4.943442353750798,42,0.19392541110154476,26.656102838940832,17,15,32,28,results/B200/figures/evaluation/v7/_data_llm_traj.csv (speedup_vs_torch NOT re-based; pre-rebase torch baseline)
gpt-5.5,triton,6,13.326318320391241,16,5.096139427636934,44,0.21238676088689692,24.387135509868287,16,15,28,26,results/B200/figures/evaluation/v7/_data_llm_traj.csv (speedup_vs_torch NOT re-based; pre-rebase torch baseline)
gpt-5.5,triton,7,7.973657451762822,19,5.307911907907919,44,0.22922160762034088,23.571156115702962,19,15,27,25,results/B200/figures/evaluation/v7/_data_llm_traj.csv (speedup_vs_torch NOT re-based; pre-rebase torch baseline)
gpt-5.5,triton,8,6.589358037991209,14,5.35067901090114,44,0.2454374303785089,22.214466653700807,14,10,27,25,results/B200/figures/evaluation/v7/_data_llm_traj.csv (speedup_vs_torch NOT re-based; pre-rebase torch baseline)
gpt-5.5,triton,9,8.945206371052608,18,5.443305481909636,45,0.2600057805171597,20.93532486501927,18,15,27,24,results/B200/figures/evaluation/v7/_data_llm_traj.csv (speedup_vs_torch NOT re-based; pre-rebase torch baseline)
gpt-5.5,cutile,0,NA,0,NA,0,0.05514441306019848,NA,0,0,45,45,results/B200/figures/evaluation/v7/_data_llm_traj.csv (speedup_vs_torch NOT re-based; pre-rebase torch baseline)
gpt-5.5,cutile,1,2.551139706435187,40,2.551139706435187,40,0.10253048547816775,25.034231009012636,40,34,45,45,results/B200/figures/evaluation/v7/_data_llm_traj.csv (speedup_vs_torch NOT re-based; pre-rebase torch baseline)
gpt-5.5,cutile,2,6.844033613224069,2,2.5514232782347515,40,0.144982451904542,17.792401353238468,2,2,37,36,results/B200/figures/evaluation/v7/_data_llm_traj.csv (speedup_vs_torch NOT re-based; pre-rebase torch baseline)
gpt-5.5,cutile,3,1.557976855787653,28,2.903974257240484,42,0.181101774877214,16.37907661503104,28,22,37,36,results/B200/figures/evaluation/v7/_data_llm_traj.csv (speedup_vs_torch NOT re-based; pre-rebase torch baseline)
gpt-5.5,cutile,4,4.328422802298897,16,2.9659492615653242,42,0.21364469592555319,14.245275343472795,16,13,33,32,results/B200/figures/evaluation/v7/_data_llm_traj.csv (speedup_vs_torch NOT re-based; pre-rebase torch baseline)
gpt-5.5,cutile,5,2.9158639656462526,23,3.2343160601699132,42,0.24310617138135834,13.713923529802784,23,19,32,31,results/B200/figures/evaluation/v7/_data_llm_traj.csv (speedup_vs_torch NOT re-based; pre-rebase torch baseline)
gpt-5.5,cutile,6,3.378279107145149,13,3.26016396422752,42,0.26674903005732986,12.652792910695974,13,10,28,27,results/B200/figures/evaluation/v7/_data_llm_traj.csv (speedup_vs_torch NOT re-based; pre-rebase torch baseline)
gpt-5.5,cutile,7,4.3406601253811905,23,3.450460217708234,43,0.2892392768369636,12.209243519963003,23,19,27,27,results/B200/figures/evaluation/v7/_data_llm_traj.csv (speedup_vs_torch NOT re-based; pre-rebase torch baseline)
gpt-5.5,cutile,8,2.6872121857518336,15,4.268228376838558,43,0.31107430502656624,14.088337273152858,15,11,27,27,results/B200/figures/evaluation/v7/_data_llm_traj.csv (speedup_vs_torch NOT re-based; pre-rebase torch baseline)
gpt-5.5,cutile,9,5.245899771922673,17,4.28921303017799,43,0.33067430726024893,13.353717901266904,17,15,27,26,results/B200/figures/evaluation/v7/_data_llm_traj.csv (speedup_vs_torch NOT re-based; pre-rebase torch baseline)
claude-opus-4-7,triton,0,2.8295582990907135,37,2.8295582990907135,37,0.06427901564212495,45.14853007905693,37,31,45,45,results/B200/figures/evaluation/v7/_data_llm_traj.csv (speedup_vs_torch NOT re-based; pre-rebase torch baseline)
claude-opus-4-7,triton,1,3.421680010946665,24,3.1549953945246387,40,0.10063783918383082,33.043264868393265,24,19,45,30,results/B200/figures/evaluation/v7/_data_llm_traj.csv (speedup_vs_torch NOT re-based; pre-rebase torch baseline)
claude-opus-4-7,triton,2,3.4135217469087142,21,3.564837952032987,42,0.13267676697565703,28.041201625082195,21,16,39,28,results/B200/figures/evaluation/v7/_data_llm_traj.csv (speedup_vs_torch NOT re-based; pre-rebase torch baseline)
claude-opus-4-7,triton,3,5.574582241038139,23,4.337547574220734,42,0.16012659366877405,28.489470314215936,23,19,39,28,results/B200/figures/evaluation/v7/_data_llm_traj.csv (speedup_vs_torch NOT re-based; pre-rebase torch baseline)
claude-opus-4-7,triton,4,5.30244832213503,23,4.705481521804991,43,0.1841793920842006,26.510136984128465,23,19,39,27,results/B200/figures/evaluation/v7/_data_llm_traj.csv (speedup_vs_torch NOT re-based; pre-rebase torch baseline)
claude-opus-4-7,triton,5,3.326826328207176,26,4.615473212914818,45,0.20689212172328608,22.308598193448447,26,18,39,27,results/B200/figures/evaluation/v7/_data_llm_traj.csv (speedup_vs_torch NOT re-based; pre-rebase torch baseline)
claude-opus-4-7,triton,6,6.613078057922237,17,4.679661248437869,45,0.22695847378929393,20.619019727734067,17,15,38,25,results/B200/figures/evaluation/v7/_data_llm_traj.csv (speedup_vs_torch NOT re-based; pre-rebase torch baseline)
claude-opus-4-7,triton,7,4.0943600618948714,20,4.684543531816398,45,0.24415581015595988,19.186696924492765,20,15,37,25,results/B200/figures/evaluation/v7/_data_llm_traj.csv (speedup_vs_torch NOT re-based; pre-rebase torch baseline)
claude-opus-4-7,triton,8,4.601951512831572,21,4.701261208652902,45,0.2608313976622498,18.02413839280406,21,16,37,25,results/B200/figures/evaluation/v7/_data_llm_traj.csv (speedup_vs_torch NOT re-based; pre-rebase torch baseline)
claude-opus-4-7,triton,9,4.615252465544592,19,4.716744578151522,45,0.2765250054831484,17.057208153419463,19,15,36,25,results/B200/figures/evaluation/v7/_data_llm_traj.csv (speedup_vs_torch NOT re-based; pre-rebase torch baseline)
claude-opus-4-7,cutile,0,NA,0,NA,0,0.06427901564212495,NA,0,0,45,45,results/B200/figures/evaluation/v7/_data_llm_traj.csv (speedup_vs_torch NOT re-based; pre-rebase torch baseline)
claude-opus-4-7,cutile,1,1.8805846261816836,35,1.8805846261816836,35,0.11509328056271963,17.352486549137605,35,27,45,45,results/B200/figures/evaluation/v7/_data_llm_traj.csv (speedup_vs_torch NOT re-based; pre-rebase torch baseline)
claude-opus-4-7,cutile,2,1.747445536584777,21,2.3304364204561545,38,0.16294452238478602,15.179421565847655,21,14,39,39,results/B200/figures/evaluation/v7/_data_llm_traj.csv (speedup_vs_torch NOT re-based; pre-rebase torch baseline)
claude-opus-4-7,cutile,3,2.331243752538442,32,2.5294721575437458,41,0.20774333584116525,12.681505624145917,32,24,39,39,results/B200/figures/evaluation/v7/_data_llm_traj.csv (speedup_vs_torch NOT re-based; pre-rebase torch baseline)
claude-opus-4-7,cutile,4,3.0752421361807016,27,2.651674568278535,41,0.2506787386462466,11.106513567963537,27,21,39,39,results/B200/figures/evaluation/v7/_data_llm_traj.csv (speedup_vs_torch NOT re-based; pre-rebase torch baseline)
claude-opus-4-7,cutile,5,2.3651515570340096,28,2.7539457905132707,41,0.2933792142827171,9.89098541740877,28,21,39,39,results/B200/figures/evaluation/v7/_data_llm_traj.csv (speedup_vs_torch NOT re-based; pre-rebase torch baseline)
claude-opus-4-7,cutile,6,2.2293630870394767,28,2.911540171682606,41,0.33393729056173443,9.220371577067926,28,21,38,38,results/B200/figures/evaluation/v7/_data_llm_traj.csv (speedup_vs_torch NOT re-based; pre-rebase torch baseline)
claude-opus-4-7,cutile,7,2.5552659265747115,23,2.928435308285135,41,0.37044563394079366,8.382789688312297,23,18,37,37,results/B200/figures/evaluation/v7/_data_llm_traj.csv (speedup_vs_torch NOT re-based; pre-rebase torch baseline)
claude-opus-4-7,cutile,8,2.7039492926366893,27,3.411739416210842,41,0.4067190976418121,8.916811277373675,27,21,37,37,results/B200/figures/evaluation/v7/_data_llm_traj.csv (speedup_vs_torch NOT re-based; pre-rebase torch baseline)
claude-opus-4-7,cutile,9,2.3967824051929445,30,3.450371308551586,41,0.44149522242615197,8.316724036519824,30,22,36,36,results/B200/figures/evaluation/v7/_data_llm_traj.csv (speedup_vs_torch NOT re-based; pre-rebase torch baseline)
