params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile,triton_vs_cutile
seq_len=1024,fp16,0.0395,0.0037,0.0044,10.53,8.96,1.1758
seq_len=1024,fp32,0.0434,0.0049,0.0053,8.94,8.14,1.0981
seq_len=2048,fp16,0.0648,0.0052,0.0067,12.49,9.72,1.2853
seq_len=2048,fp32,0.0759,0.0073,0.0085,10.35,8.93,1.1592
seq_len=3072,fp16,0.0877,0.0066,0.0088,13.24,9.93,1.3330
seq_len=3072,fp32,0.1169,0.0108,0.0117,10.82,9.95,1.0868
seq_len=4096,fp16,0.1145,0.0080,0.0111,14.30,10.30,1.3892
seq_len=4096,fp32,0.1555,0.0151,0.0163,10.31,9.52,1.0821
seq_len=5120,fp16,0.1459,0.0097,0.0133,15.08,10.93,1.3794
seq_len=5120,fp32,0.1928,0.0205,0.0225,9.40,8.59,1.0948
seq_len=6144,fp16,0.1765,0.0110,0.0158,16.07,11.17,1.4382
seq_len=6144,fp32,0.2310,0.0273,0.0287,8.45,8.06,1.0491
seq_len=7168,fp16,0.2045,0.0131,0.0181,15.63,11.32,1.3803
seq_len=7168,fp32,0.2703,0.0331,0.0343,8.17,7.87,1.0380
seq_len=8192,fp16,0.2332,0.0150,0.0205,15.53,11.40,1.3621
seq_len=8192,fp32,0.3092,0.0392,0.0395,7.89,7.82,1.0081
seq_len=9216,fp16,0.2630,0.0176,0.0234,14.92,11.25,1.3261
seq_len=9216,fp32,0.3488,0.0453,0.0456,7.70,7.64,1.0079
seq_len=10240,fp16,0.2917,0.0210,0.0262,13.89,11.12,1.2490
seq_len=10240,fp32,0.3873,0.0509,0.0511,7.61,7.58,1.0044
seq_len=11264,fp16,0.3193,0.0245,0.0291,13.00,10.96,1.1870
seq_len=11264,fp32,0.4256,0.0565,0.0568,7.53,7.49,1.0052
seq_len=12288,fp16,0.3482,0.0279,0.0318,12.48,10.93,1.1415
seq_len=12288,fp32,0.4616,0.0623,0.0624,7.41,7.39,1.0023
seq_len=13312,fp16,0.3755,0.0307,0.0343,12.22,10.96,1.1150
seq_len=13312,fp32,0.4998,0.0675,0.0673,7.41,7.42,0.9982
seq_len=14336,fp16,0.4035,0.0337,0.0369,11.98,10.93,1.0958
seq_len=14336,fp32,0.5367,0.0726,0.0728,7.40,7.37,1.0029
seq_len=15360,fp16,0.4311,0.0369,0.0395,11.69,10.91,1.0714
seq_len=15360,fp32,0.5735,0.0774,0.0779,7.41,7.36,1.0063
seq_len=16384,fp16,0.4577,0.0395,0.0417,11.58,10.98,1.0552
seq_len=16384,fp32,0.6114,0.0830,0.0831,7.36,7.36,1.0005
seq_len=17408,fp16,0.4855,0.0421,0.0446,11.53,10.88,1.0596
seq_len=17408,fp32,0.6488,0.0879,0.0881,7.38,7.36,1.0027
seq_len=18432,fp16,0.5127,0.0451,0.0471,11.36,10.88,1.0436
seq_len=18432,fp32,0.6863,0.0939,0.0932,7.31,7.36,0.9924
seq_len=19456,fp16,0.5405,0.0483,0.0504,11.19,10.72,1.0440
seq_len=19456,fp32,0.7229,0.0984,0.0985,7.35,7.34,1.0008
seq_len=20480,fp16,0.5677,0.0514,0.0531,11.04,10.70,1.0319
seq_len=20480,fp32,0.7599,0.1037,0.1040,7.33,7.30,1.0031
