params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile,triton_vs_cutile
H=16,fp16,0.0120,0.0243,0.0517,0.49,0.23,2.1305
H=16,fp32,0.0145,0.0268,0.0684,0.54,0.21,2.5543
H=32,fp16,0.0132,0.0257,0.0527,0.51,0.25,2.0489
H=32,fp32,0.0153,0.0271,0.0704,0.56,0.22,2.5951
H=48,fp16,0.0140,0.0264,0.0540,0.53,0.26,2.0470
H=48,fp32,0.0160,0.0275,0.0749,0.58,0.21,2.7246
H=64,fp16,0.0153,0.0340,0.0614,0.45,0.25,1.8075
H=64,fp32,0.0169,0.0430,0.0860,0.39,0.20,1.9993
H=80,fp16,0.0162,0.0439,0.0842,0.37,0.19,1.9156
H=80,fp32,0.0186,0.0655,0.1035,0.28,0.18,1.5809
H=96,fp16,0.0180,0.0609,0.0890,0.30,0.20,1.4600
H=96,fp32,0.0208,0.0719,0.1871,0.29,0.11,2.6028
H=112,fp16,0.0209,0.0845,0.1196,0.25,0.17,1.4147
H=112,fp32,0.0252,0.1052,0.1390,0.24,0.18,1.3216
H=128,fp16,0.0226,0.0977,0.1528,0.23,0.15,1.5638
H=128,fp32,0.0283,0.1216,0.1786,0.23,0.16,1.4685
H=144,fp16,0.0263,0.1266,0.1959,0.21,0.13,1.5474
H=144,fp32,0.0335,0.1742,0.2350,0.19,0.14,1.3492
H=160,fp16,0.0284,0.1562,0.2248,0.18,0.13,1.4398
H=160,fp32,0.0358,0.1848,0.2675,0.19,0.13,1.4475
H=176,fp16,0.0312,0.1890,0.2595,0.17,0.12,1.3733
H=176,fp32,0.0422,0.2348,0.3060,0.18,0.14,1.3033
H=192,fp16,0.0329,0.1925,0.2949,0.17,0.11,1.5321
H=192,fp32,0.0446,0.2356,0.3481,0.19,0.13,1.4775
H=208,fp16,0.0397,0.2652,0.3640,0.15,0.11,1.3725
H=208,fp32,0.0516,0.2938,0.4284,0.18,0.12,1.4583
H=224,fp16,0.0491,0.2846,0.3997,0.17,0.12,1.4045
H=224,fp32,0.0545,0.3476,0.4691,0.16,0.12,1.3495
H=240,fp16,0.0545,0.3495,0.4694,0.16,0.12,1.3432
H=240,fp32,0.0624,0.3981,0.5516,0.16,0.11,1.3856
H=256,fp16,0.0564,0.3558,0.5042,0.16,0.11,1.4172
H=256,fp32,0.0672,0.3992,0.5923,0.17,0.11,1.4836
H=272,fp16,0.0820,0.3831,0.5735,0.21,0.14,1.4968
H=272,fp32,0.0718,0.4528,0.6723,0.16,0.11,1.4846
H=288,fp16,0.0865,0.4480,0.6424,0.19,0.13,1.4340
H=288,fp32,0.0845,0.5106,0.7534,0.17,0.11,1.4754
H=304,fp16,0.0924,0.4788,0.7118,0.19,0.13,1.4866
H=304,fp32,0.0931,0.5575,0.8354,0.17,0.11,1.4984
H=320,fp16,0.0982,0.5393,0.7810,0.18,0.13,1.4483
H=320,fp32,0.1041,0.6096,0.9166,0.17,0.11,1.5036
