params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile,triton_vs_cutile
K=512,fp16,0.0047,0.0028,0.0030,1.68,1.56,1.0772
K=512,bf16,0.0047,0.0028,0.0035,1.64,1.32,1.2428
K=512,fp32,0.0049,0.0029,0.0040,1.71,1.24,1.3797
K=1024,fp16,0.0055,0.0035,0.0036,1.58,1.53,1.0359
K=1024,bf16,0.0054,0.0035,0.0035,1.53,1.55,0.9880
K=1024,fp32,0.0069,0.0038,0.0040,1.78,1.73,1.0304
K=1536,fp16,0.0056,0.0041,0.0049,1.36,1.15,1.1829
K=1536,bf16,0.0064,0.0044,0.0052,1.46,1.23,1.1843
K=1536,fp32,0.0090,0.0055,0.0053,1.61,1.70,0.9500
K=2048,fp16,0.0057,0.0055,0.0050,1.04,1.14,0.9078
K=2048,bf16,0.0055,0.0056,0.0048,0.99,1.15,0.8652
K=2048,fp32,0.0106,0.0074,0.0079,1.42,1.34,1.0643
K=2560,fp16,0.0067,0.0070,0.0069,0.96,0.97,0.9843
K=2560,bf16,0.0070,0.0072,0.0067,0.98,1.05,0.9358
K=2560,fp32,0.0131,0.0096,0.0093,1.37,1.41,0.9664
K=3072,fp16,0.0078,0.0066,0.0075,1.18,1.05,1.1261
K=3072,bf16,0.0081,0.0076,0.0070,1.07,1.17,0.9186
K=3072,fp32,0.0158,0.0103,0.0107,1.53,1.47,1.0404
K=3584,fp16,0.0089,0.0075,0.0082,1.18,1.08,1.0910
K=3584,bf16,0.0092,0.0077,0.0085,1.19,1.09,1.0957
K=3584,fp32,0.0174,0.0130,0.0131,1.34,1.33,1.0111
K=4096,fp16,0.0094,0.0079,0.0086,1.20,1.09,1.0971
K=4096,bf16,0.0095,0.0079,0.0089,1.21,1.07,1.1256
K=4096,fp32,0.0194,0.0147,0.0148,1.32,1.31,1.0073
K=4608,fp16,0.0105,0.0098,0.0106,1.07,0.99,1.0783
K=4608,bf16,0.0107,0.0097,0.0108,1.10,0.99,1.1165
K=4608,fp32,0.0221,0.0165,0.0164,1.34,1.35,0.9967
K=5120,fp16,0.0116,0.0103,0.0110,1.13,1.05,1.0746
K=5120,bf16,0.0117,0.0101,0.0112,1.16,1.04,1.1126
K=5120,fp32,0.0249,0.0183,0.0180,1.36,1.38,0.9864
K=5632,fp16,0.0127,0.0109,0.0124,1.16,1.02,1.1396
K=5632,bf16,0.0128,0.0108,0.0123,1.19,1.04,1.1447
K=5632,fp32,0.0273,0.0192,0.0192,1.42,1.42,1.0001
K=6144,fp16,0.0134,0.0112,0.0128,1.20,1.05,1.1427
K=6144,bf16,0.0137,0.0112,0.0127,1.22,1.08,1.1385
K=6144,fp32,0.0295,0.0211,0.0209,1.40,1.41,0.9902
K=6656,fp16,0.0144,0.0128,0.0141,1.12,1.02,1.0999
K=6656,bf16,0.0146,0.0126,0.0142,1.16,1.03,1.1304
K=6656,fp32,0.0331,0.0226,0.0225,1.46,1.47,0.9932
K=7168,fp16,0.0162,0.0138,0.0154,1.18,1.05,1.1177
K=7168,bf16,0.0159,0.0137,0.0154,1.16,1.03,1.1257
K=7168,fp32,0.0347,0.0244,0.0250,1.42,1.39,1.0212
K=7680,fp16,0.0168,0.0141,0.0165,1.19,1.02,1.1666
K=7680,bf16,0.0167,0.0141,0.0161,1.19,1.04,1.1408
K=7680,fp32,0.0373,0.0246,0.0256,1.52,1.46,1.0435
K=8192,fp16,0.0175,0.0163,0.0171,1.07,1.02,1.0478
K=8192,bf16,0.0176,0.0147,0.0168,1.19,1.05,1.1402
K=8192,fp32,0.0398,0.0261,0.0278,1.52,1.43,1.0642
K=8704,fp16,0.0184,0.0163,0.0187,1.13,0.98,1.1473
K=8704,bf16,0.0186,0.0164,0.0185,1.14,1.01,1.1340
K=8704,fp32,0.0428,0.0284,0.0291,1.51,1.47,1.0245
K=9216,fp16,0.0194,0.0170,0.0193,1.14,1.00,1.1347
K=9216,bf16,0.0199,0.0172,0.0192,1.16,1.04,1.1191
K=9216,fp32,0.0453,0.0299,0.0307,1.52,1.47,1.0298
K=9728,fp16,0.0214,0.0182,0.0215,1.17,0.99,1.1843
K=9728,bf16,0.0209,0.0181,0.0205,1.16,1.02,1.1366
K=9728,fp32,0.0472,0.0313,0.0317,1.51,1.49,1.0129
K=10240,fp16,0.0218,0.0189,0.0222,1.16,0.98,1.1780
K=10240,bf16,0.0218,0.0189,0.0214,1.16,1.02,1.1330
K=10240,fp32,0.0500,0.0332,0.0340,1.51,1.47,1.0237
