params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile,triton_vs_cutile
seq_len=2048,fp16,0.0155,0.0051,0.0094,3.05,1.65,1.8449
seq_len=2048,bf16,0.0152,0.0051,0.0093,2.97,1.64,1.8112
seq_len=2048,fp32,0.0164,0.0078,0.0103,2.11,1.59,1.3263
seq_len=2048,int8,0.0133,0.0051,0.0087,2.59,1.52,1.7012
seq_len=4096,fp16,0.0242,0.0078,0.0149,3.10,1.62,1.9078
seq_len=4096,bf16,0.0242,0.0078,0.0149,3.10,1.62,1.9086
seq_len=4096,fp32,0.0278,0.0127,0.0167,2.19,1.66,1.3192
seq_len=4096,int8,0.0216,0.0060,0.0143,3.60,1.51,2.3796
seq_len=6144,fp16,0.0342,0.0104,0.0223,3.29,1.54,2.1422
seq_len=6144,bf16,0.0342,0.0103,0.0214,3.32,1.60,2.0744
seq_len=6144,fp32,0.0372,0.0171,0.0229,2.18,1.63,1.3381
seq_len=6144,int8,0.0295,0.0079,0.0193,3.73,1.53,2.4331
seq_len=8192,fp16,0.0438,0.0126,0.0265,3.47,1.65,2.1001
seq_len=8192,bf16,0.0438,0.0126,0.0265,3.46,1.65,2.0982
seq_len=8192,fp32,0.0474,0.0214,0.0288,2.21,1.65,1.3446
seq_len=8192,int8,0.0386,0.0104,0.0255,3.71,1.51,2.4520
seq_len=10240,fp16,0.0529,0.0147,0.0313,3.61,1.69,2.1346
seq_len=10240,bf16,0.0528,0.0147,0.0317,3.60,1.67,2.1595
seq_len=10240,fp32,0.0574,0.0260,0.0352,2.20,1.63,1.3507
seq_len=10240,int8,0.0482,0.0119,0.0305,4.05,1.58,2.5589
seq_len=12288,fp16,0.0616,0.0174,0.0374,3.55,1.65,2.1578
seq_len=12288,bf16,0.0617,0.0172,0.0371,3.59,1.66,2.1571
seq_len=12288,fp32,0.0667,0.0286,0.0409,2.33,1.63,1.4285
seq_len=12288,int8,0.0574,0.0138,0.0367,4.18,1.56,2.6706
seq_len=14336,fp16,0.0709,0.0194,0.0419,3.66,1.69,2.1637
seq_len=14336,bf16,0.0708,0.0195,0.0423,3.64,1.67,2.1753
seq_len=14336,fp32,0.0768,0.0329,0.0465,2.33,1.65,1.4121
seq_len=14336,int8,0.0668,0.0151,0.0405,4.43,1.65,2.6846
seq_len=16384,fp16,0.0800,0.0218,0.0477,3.67,1.68,2.1866
seq_len=16384,bf16,0.0799,0.0217,0.0472,3.69,1.69,2.1789
seq_len=16384,fp32,0.0865,0.0369,0.0525,2.34,1.65,1.4221
seq_len=16384,int8,0.0752,0.0168,0.0453,4.48,1.66,2.7016
seq_len=18432,fp16,0.0892,0.0249,0.0529,3.58,1.69,2.1195
seq_len=18432,bf16,0.0891,0.0249,0.0527,3.58,1.69,2.1152
seq_len=18432,fp32,0.0959,0.0409,0.0586,2.34,1.64,1.4314
seq_len=18432,int8,0.0839,0.0190,0.0503,4.41,1.67,2.6437
seq_len=20480,fp16,0.1001,0.0260,0.0578,3.84,1.73,2.2207
seq_len=20480,bf16,0.0999,0.0260,0.0577,3.84,1.73,2.2183
seq_len=20480,fp32,0.1076,0.0441,0.0648,2.44,1.66,1.4704
seq_len=20480,int8,0.0937,0.0205,0.0555,4.57,1.69,2.7071
seq_len=22528,fp16,0.1095,0.0268,0.0630,4.09,1.74,2.3546
seq_len=22528,bf16,0.1094,0.0270,0.0630,4.06,1.74,2.3364
seq_len=22528,fp32,0.1173,0.0479,0.0719,2.45,1.63,1.5022
seq_len=22528,int8,0.1022,0.0216,0.0605,4.73,1.69,2.8029
seq_len=24576,fp16,0.1183,0.0287,0.0685,4.13,1.73,2.3873
seq_len=24576,bf16,0.1185,0.0289,0.0684,4.10,1.73,2.3673
seq_len=24576,fp32,0.1269,0.0515,0.0772,2.46,1.64,1.4978
seq_len=24576,int8,0.1109,0.0234,0.0654,4.75,1.70,2.7986
seq_len=26624,fp16,0.1276,0.0310,0.0735,4.12,1.74,2.3753
seq_len=26624,bf16,0.1276,0.0309,0.0737,4.13,1.73,2.3866
seq_len=26624,fp32,0.1367,0.0554,0.0831,2.47,1.65,1.4990
seq_len=26624,int8,0.1197,0.0254,0.0705,4.71,1.70,2.7730
seq_len=28672,fp16,0.1366,0.0329,0.0789,4.15,1.73,2.3973
seq_len=28672,bf16,0.1368,0.0328,0.0788,4.17,1.74,2.4034
seq_len=28672,fp32,0.1466,0.0593,0.0893,2.47,1.64,1.5059
seq_len=28672,int8,0.1289,0.0271,0.0758,4.75,1.70,2.7972
seq_len=30720,fp16,0.1456,0.0351,0.0845,4.15,1.72,2.4080
seq_len=30720,bf16,0.1456,0.0350,0.0845,4.17,1.72,2.4179
seq_len=30720,fp32,0.1563,0.0631,0.0945,2.48,1.65,1.4977
seq_len=30720,int8,0.1371,0.0288,0.0811,4.76,1.69,2.8143
seq_len=32768,fp16,0.1546,0.0371,0.0898,4.17,1.72,2.4219
seq_len=32768,bf16,0.1546,0.0369,0.0898,4.18,1.72,2.4294
seq_len=32768,fp32,0.1659,0.0668,0.1005,2.49,1.65,1.5059
seq_len=32768,int8,0.1458,0.0305,0.0863,4.78,1.69,2.8266
seq_len=34816,fp16,0.1636,0.0387,0.0951,4.23,1.72,2.4549
seq_len=34816,bf16,0.1634,0.0388,0.0952,4.22,1.72,2.4549
seq_len=34816,fp32,0.1755,0.0720,0.1063,2.44,1.65,1.4760
seq_len=34816,int8,0.1549,0.0328,0.0916,4.72,1.69,2.7881
seq_len=36864,fp16,0.1728,0.0409,0.1003,4.22,1.72,2.4521
seq_len=36864,bf16,0.1728,0.0403,0.1005,4.29,1.72,2.4923
seq_len=36864,fp32,0.1855,0.0760,0.1122,2.44,1.65,1.4769
seq_len=36864,int8,0.1637,0.0348,0.0963,4.70,1.70,2.7662
seq_len=38912,fp16,0.1827,0.0421,0.1056,4.34,1.73,2.5062
seq_len=38912,bf16,0.1826,0.0422,0.1059,4.33,1.73,2.5081
seq_len=38912,fp32,0.1961,0.0787,0.1185,2.49,1.66,1.5054
seq_len=38912,int8,0.1725,0.0363,0.1019,4.75,1.69,2.8066
seq_len=40960,fp16,0.1922,0.0441,0.1112,4.36,1.73,2.5223
seq_len=40960,bf16,0.1920,0.0440,0.1110,4.36,1.73,2.5220
seq_len=40960,fp32,0.2063,0.0826,0.1254,2.50,1.64,1.5185
seq_len=40960,int8,0.1812,0.0364,0.1071,4.97,1.69,2.9383
