params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile,triton_vs_cutile
"m=1024, n=4096",fp16,0.0260,0.0939,0.3307,0.28,0.08,3.5237
"m=1024, n=4096",bf16,0.0258,0.0944,0.3301,0.27,0.08,3.4982
"m=1024, n=4096",fp32,0.0468,0.1117,0.3671,0.42,0.13,3.2862
"m=1024, n=5120",fp16,0.0311,0.1162,0.4813,0.27,0.06,4.1416
"m=1024, n=5120",bf16,0.0312,0.1161,0.4825,0.27,0.06,4.1553
"m=1024, n=5120",fp32,0.0754,0.1430,0.5548,0.53,0.14,3.8788
"m=1024, n=11008",fp16,0.0767,0.1783,0.5874,0.43,0.13,3.2939
"m=1024, n=11008",bf16,0.0774,0.1784,0.5838,0.43,0.13,3.2716
"m=1024, n=11008",fp32,0.1288,0.2818,0.7468,0.46,0.17,2.6501
"m=1024, n=14336",fp16,0.0850,0.2065,0.5599,0.41,0.15,2.7121
"m=1024, n=14336",bf16,0.0839,0.2056,0.5596,0.41,0.15,2.7225
"m=1024, n=14336",fp32,0.1696,0.3303,0.6697,0.51,0.25,2.0277
"m=1024, n=28672",fp16,0.1727,0.3407,0.7024,0.51,0.25,2.0620
"m=1024, n=28672",bf16,0.1656,0.3389,0.6985,0.49,0.24,2.0610
"m=1024, n=28672",fp32,0.3155,0.6139,0.9219,0.51,0.34,1.5016
"m=2048, n=4096",fp16,0.0458,0.1286,0.5429,0.36,0.08,4.2214
"m=2048, n=4096",bf16,0.0449,0.1295,0.5433,0.35,0.08,4.1957
"m=2048, n=4096",fp32,0.0873,0.2136,0.6565,0.41,0.13,3.0740
"m=2048, n=5120",fp16,0.0536,0.1590,0.5454,0.34,0.10,3.4297
"m=2048, n=5120",bf16,0.0517,0.1592,0.5455,0.32,0.09,3.4257
"m=2048, n=5120",fp32,0.1220,0.2588,0.6729,0.47,0.18,2.6000
"m=2048, n=11008",fp16,0.1180,0.2719,0.6663,0.43,0.18,2.4503
"m=2048, n=11008",bf16,0.1129,0.2711,0.6666,0.42,0.17,2.4588
"m=2048, n=11008",fp32,0.2302,0.4932,0.8578,0.47,0.27,1.7393
"m=2048, n=14336",fp16,0.1631,0.3448,0.7114,0.47,0.23,2.0631
"m=2048, n=14336",bf16,0.1560,0.3440,0.7110,0.45,0.22,2.0671
"m=2048, n=14336",fp32,0.3103,0.6183,0.9223,0.50,0.34,1.4918
"m=2048, n=28672",fp16,0.3135,0.6260,0.9673,0.50,0.32,1.5451
"m=2048, n=28672",bf16,0.3005,0.6190,0.9604,0.49,0.31,1.5515
"m=2048, n=28672",fp32,0.6233,1.1956,1.3571,0.52,0.46,1.1351
"m=4096, n=4096",fp16,0.0906,0.2276,0.6887,0.40,0.13,3.0263
"m=4096, n=4096",bf16,0.0872,0.2202,0.6874,0.40,0.13,3.1220
"m=4096, n=4096",fp32,0.1776,0.3829,0.8652,0.46,0.21,2.2595
"m=4096, n=5120",fp16,0.1141,0.2615,0.6852,0.44,0.17,2.6202
"m=4096, n=5120",bf16,0.1096,0.2619,0.6840,0.42,0.16,2.6118
"m=4096, n=5120",fp32,0.2207,0.4648,0.8792,0.47,0.25,1.8914
"m=4096, n=11008",fp16,0.2402,0.5010,0.8973,0.48,0.27,1.7909
"m=4096, n=11008",bf16,0.2294,0.5032,0.8939,0.46,0.26,1.7766
"m=4096, n=11008",fp32,0.4870,0.9469,1.2240,0.51,0.40,1.2927
"m=4096, n=14336",fp16,0.3119,0.6263,0.9683,0.50,0.32,1.5460
"m=4096, n=14336",bf16,0.3005,0.6194,0.9602,0.49,0.31,1.5501
"m=4096, n=14336",fp32,0.6428,1.1880,1.3565,0.54,0.47,1.1418
"m=4096, n=28672",fp16,0.6078,1.2227,1.5188,0.50,0.40,1.2422
"m=4096, n=28672",bf16,0.6050,1.2161,1.4819,0.50,0.41,1.2186
"m=4096, n=28672",fp32,1.2880,2.3690,2.2977,0.54,0.56,0.9699
"m=8192, n=4096",fp16,0.1744,0.3621,0.8252,0.48,0.21,2.2789
"m=8192, n=4096",bf16,0.1666,0.3558,0.8226,0.47,0.20,2.3121
"m=8192, n=4096",fp32,0.3390,0.7094,1.1002,0.48,0.31,1.5509
"m=8192, n=5120",fp16,0.2217,0.4569,0.8226,0.49,0.27,1.8003
"m=8192, n=5120",bf16,0.2119,0.4458,0.8179,0.48,0.26,1.8349
"m=8192, n=5120",fp32,0.4337,0.8666,1.1163,0.50,0.39,1.2881
"m=8192, n=11008",fp16,0.4766,0.9439,1.2413,0.50,0.38,1.3151
"m=8192, n=11008",bf16,0.4573,0.9352,1.2213,0.49,0.37,1.3059
"m=8192, n=11008",fp32,0.9916,1.8265,1.8350,0.54,0.54,1.0047
"m=8192, n=14336",fp16,0.6095,1.2362,1.5157,0.49,0.40,1.2261
"m=8192, n=14336",bf16,0.5896,1.2242,1.4868,0.48,0.40,1.2145
"m=8192, n=14336",fp32,1.3177,2.3761,2.3043,0.55,0.57,0.9697
"m=8192, n=28672",fp16,1.3252,2.4966,2.6853,0.53,0.49,1.0756
"m=8192, n=28672",bf16,1.3065,2.4282,2.6090,0.54,0.50,1.0744
"m=8192, n=28672",fp32,2.7236,4.7810,4.2377,0.57,0.64,0.8864
