params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile,triton_vs_cutile
n=1000000,int32,0.0803,0.3166,0.3552,0.25,0.23,1.1219
n=2000000,int32,0.1287,0.4025,0.4624,0.32,0.28,1.1489
n=3000000,int32,0.1619,0.4737,0.5807,0.34,0.28,1.2257
n=4000000,int32,0.2033,0.5645,0.6978,0.36,0.29,1.2360
n=5000000,int32,0.2441,0.6355,0.8004,0.38,0.31,1.2594
n=6000000,int32,0.2844,0.7252,0.9226,0.39,0.31,1.2722
n=7000000,int32,0.3195,0.8001,1.0322,0.40,0.31,1.2901
n=8000000,int32,0.3591,0.8706,1.1333,0.41,0.32,1.3017
n=9000000,int32,0.3955,0.9435,1.2409,0.42,0.32,1.3152
n=10000000,int32,0.4330,1.0422,1.3654,0.42,0.32,1.3101
n=11000000,int32,0.4720,1.1219,1.4846,0.42,0.32,1.3233
n=12000000,int32,0.5075,1.2131,1.6079,0.42,0.32,1.3254
n=13000000,int32,0.5444,1.3079,1.7408,0.42,0.31,1.3310
n=14000000,int32,0.5786,1.3969,1.8697,0.41,0.31,1.3384
n=15000000,int32,0.6199,1.5010,2.0038,0.41,0.31,1.3350
n=16000000,int32,0.6585,1.6020,2.1430,0.41,0.31,1.3377
n=17000000,int32,0.6909,1.6988,2.2803,0.41,0.30,1.3423
n=18000000,int32,0.7266,1.7921,2.4143,0.41,0.30,1.3472
n=19000000,int32,0.7638,1.9008,2.5549,0.40,0.30,1.3441
n=20000000,int32,0.8037,2.0103,2.6926,0.40,0.30,1.3394
