params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile,triton_vs_cutile,tilelang_ms,speedup_tilelang,torch_nki_ms,nki_ms,speedup_nki
batch_size=512,fp16,0.0123,0.0029,0.0031,4.29,3.96,1.0840,0.0030,4.07,0.0365,0.0540,0.67
batch_size=512,fp32,0.0071,0.0030,0.0033,2.32,2.13,1.0878,0.0034,2.11,0.0345,0.0438,0.79
batch_size=1024,fp16,0.0126,0.0033,0.0034,3.81,3.70,1.0285,0.0034,3.70,0.0518,0.0683,0.76
batch_size=1024,fp32,0.0075,0.0034,0.0036,2.19,2.09,1.0488,0.0038,1.95,0.0529,0.0605,0.88
batch_size=1536,fp16,0.0130,0.0047,0.0037,2.76,3.51,0.7847,0.0048,2.72,0.0724,0.1096,0.66
batch_size=1536,fp32,0.0078,0.0049,0.0039,1.61,1.99,0.8068,0.0049,1.59,0.0709,0.0770,0.92
batch_size=2048,fp16,0.0129,0.0052,0.0040,2.50,3.21,0.7808,0.0053,2.42,0.0758,0.1341,0.56
batch_size=2048,fp32,0.0086,0.0053,0.0043,1.62,1.99,0.8172,0.0061,1.42,0.0791,0.0952,0.83
batch_size=2560,fp16,0.0135,0.0063,0.0054,2.14,2.52,0.8524,0.0068,1.97,0.0890,0.1541,0.58
batch_size=2560,fp32,0.0085,0.0065,0.0053,1.32,1.62,0.8139,0.0064,1.32,0.0915,0.1178,0.78
batch_size=3072,fp16,0.0132,0.0067,0.0056,1.97,2.35,0.8380,0.0070,1.89,0.0914,0.1696,0.54
batch_size=3072,fp32,0.0087,0.0069,0.0058,1.26,1.51,0.8358,0.0070,1.25,0.1018,0.1303,0.78
batch_size=3584,fp16,0.0137,0.0075,0.0060,1.82,2.29,0.7971,0.0081,1.69,0.1072,0.2146,0.50
batch_size=3584,fp32,0.0094,0.0077,0.0061,1.23,1.54,0.7995,0.0083,1.14,0.1214,0.1525,0.80
batch_size=4096,fp16,0.0132,0.0083,0.0065,1.59,2.05,0.7786,0.0087,1.52,0.1227,0.2376,0.52
batch_size=4096,fp32,0.0098,0.0086,0.0066,1.14,1.49,0.7636,0.0091,1.08,0.1368,0.1790,0.76
batch_size=4608,fp16,0.0139,0.0089,0.0070,1.56,1.97,0.7893,0.0097,1.43,0.1332,0.2757,0.48
batch_size=4608,fp32,0.0097,0.0091,0.0069,1.06,1.40,0.7600,0.0097,1.00,0.1443,0.1912,0.75
batch_size=5120,fp16,0.0134,0.0099,0.0077,1.36,1.75,0.7784,0.0103,1.30,0.1497,0.3084,0.49
batch_size=5120,fp32,0.0104,0.0102,0.0078,1.02,1.34,0.7637,0.0109,0.95,0.1673,0.2146,0.78
batch_size=5632,fp16,0.0136,0.0106,0.0080,1.28,1.70,0.7542,0.0106,1.28,0.1720,0.3296,0.52
batch_size=5632,fp32,0.0102,0.0107,0.0083,0.95,1.24,0.7707,0.0108,0.94,0.1856,0.2273,0.82
batch_size=6144,fp16,0.0142,0.0112,0.0082,1.26,1.72,0.7334,0.0122,1.16,0.1878,0.3554,0.53
batch_size=6144,fp32,0.0112,0.0116,0.0085,0.96,1.32,0.7296,0.0119,0.94,0.2050,0.2518,0.81
batch_size=6656,fp16,0.0138,0.0119,0.0086,1.16,1.60,0.7232,0.0119,1.16,0.1899,0.3798,0.50
batch_size=6656,fp32,0.0113,0.0121,0.0088,0.93,1.27,0.7282,0.0126,0.90,0.2111,0.2747,0.77
batch_size=7168,fp16,0.0170,0.0128,0.0093,1.33,1.84,0.7226,0.0132,1.28,0.2121,0.4081,0.52
batch_size=7168,fp32,0.0120,0.0129,0.0092,0.93,1.30,0.7174,0.0141,0.85,0.2192,0.2913,0.75
batch_size=7680,fp16,0.0182,0.0135,0.0100,1.35,1.83,0.7373,0.0140,1.30,0.2233,0.4346,0.51
batch_size=7680,fp32,0.0122,0.0137,0.0099,0.89,1.23,0.7256,0.0145,0.84,0.2285,0.3168,0.72
batch_size=8192,fp16,0.0187,0.0143,0.0103,1.31,1.82,0.7207,0.0149,1.25,0.2330,0.4669,0.50
batch_size=8192,fp32,0.0127,0.0145,0.0104,0.87,1.22,0.7152,0.0149,0.85,0.2435,0.3258,0.75
batch_size=8704,fp16,0.0190,0.0149,0.0107,1.28,1.78,0.7172,0.0155,1.22,0.2493,0.5218,0.48
batch_size=8704,fp32,0.0127,0.0152,0.0108,0.84,1.18,0.7095,0.0160,0.79,0.2537,0.3454,0.73
batch_size=9216,fp16,0.0188,0.0157,0.0111,1.19,1.69,0.7065,0.0158,1.19,0.2592,0.5228,0.50
batch_size=9216,fp32,0.0127,0.0161,0.0113,0.79,1.13,0.7021,0.0164,0.78,0.2683,0.3570,0.75
batch_size=9728,fp16,0.0189,0.0163,0.0117,1.16,1.62,0.7144,0.0169,1.12,0.2837,0.5518,0.51
batch_size=9728,fp32,0.0131,0.0166,0.0115,0.79,1.13,0.6947,0.0167,0.78,0.2849,0.3759,0.76
batch_size=10240,fp16,0.0192,0.0172,0.0122,1.11,1.57,0.7088,0.0172,1.11,0.2892,0.5818,0.50
batch_size=10240,fp32,0.0137,0.0175,0.0122,0.79,1.13,0.6979,0.0179,0.77,0.3041,0.4030,0.75
