params,dtype,torch_ms,triton_ms,cutile_ms,tilelang_ms,nki_ms,speedup_triton,speedup_cutile,speedup_tilelang,speedup_nki
input_size=1000000,fp16,0.2789,0.0235,0.0378,nan,nan,11.88,7.38,0.00,0.00
input_size=1000000,fp32,0.2697,0.0329,0.0289,nan,nan,8.19,9.32,0.00,0.00
input_size=2000000,fp16,0.5462,0.0422,0.0662,nan,nan,12.95,8.25,0.00,0.00
input_size=2000000,fp32,0.5329,0.0616,0.0524,nan,nan,8.65,10.16,0.00,0.00
input_size=3000000,fp16,0.8122,0.0610,0.0917,nan,nan,13.31,8.86,0.00,0.00
input_size=3000000,fp32,0.7966,0.0899,0.0720,nan,nan,8.86,11.07,0.00,0.00
input_size=4000000,fp16,1.0792,0.0799,0.1257,nan,nan,13.50,8.59,0.00,0.00
input_size=4000000,fp32,1.0599,0.1184,0.0974,nan,nan,8.95,10.89,0.00,0.00
input_size=5000000,fp16,1.3459,0.0990,0.1514,nan,nan,13.59,8.89,0.00,0.00
input_size=5000000,fp32,1.3231,0.1474,0.1168,nan,nan,8.98,11.32,0.00,0.00
input_size=6000000,fp16,1.6115,0.1190,0.1774,nan,nan,13.54,9.08,0.00,0.00
input_size=6000000,fp32,1.5865,0.1758,0.1360,nan,nan,9.02,11.67,0.00,0.00
input_size=7000000,fp16,1.8780,0.1372,0.2102,nan,nan,13.69,8.93,0.00,0.00
input_size=7000000,fp32,1.8497,0.2041,0.1606,nan,nan,9.06,11.52,0.00,0.00
input_size=8000000,fp16,2.1450,0.1562,0.2367,nan,nan,13.73,9.06,0.00,0.00
input_size=8000000,fp32,2.1131,0.2322,0.1800,nan,nan,9.10,11.74,0.00,0.00
input_size=9000000,fp16,2.4117,0.1752,0.2626,nan,nan,13.76,9.18,0.00,0.00
input_size=9000000,fp32,2.3765,0.2606,0.1993,nan,nan,9.12,11.93,0.00,0.00
input_size=10000000,fp16,2.6777,0.1942,0.2887,nan,nan,13.79,9.28,0.00,0.00
input_size=10000000,fp32,2.6399,0.2892,0.2197,nan,nan,9.13,12.02,0.00,0.00
input_size=11000000,fp16,2.9450,0.2133,0.3214,nan,nan,13.81,9.16,0.00,0.00
input_size=11000000,fp32,2.9030,0.3176,0.2429,nan,nan,9.14,11.95,0.00,0.00
input_size=12000000,fp16,3.2114,0.2322,0.3472,nan,nan,13.83,9.25,0.00,0.00
input_size=12000000,fp32,3.1662,0.3458,0.2623,nan,nan,9.16,12.07,0.00,0.00
input_size=13000000,fp16,3.4783,0.2511,0.3732,nan,nan,13.85,9.32,0.00,0.00
input_size=13000000,fp32,3.4302,0.3739,0.2815,nan,nan,9.17,12.18,0.00,0.00
input_size=14000000,fp16,3.7463,0.2700,0.4035,nan,nan,13.88,9.28,0.00,0.00
input_size=14000000,fp32,3.6935,0.4021,0.3057,nan,nan,9.19,12.08,0.00,0.00
input_size=15000000,fp16,4.0121,0.2888,0.4294,nan,nan,13.89,9.34,0.00,0.00
input_size=15000000,fp32,3.9567,0.4312,0.3252,nan,nan,9.18,12.17,0.00,0.00
input_size=16000000,fp16,4.2789,0.3078,0.4544,nan,nan,13.90,9.42,0.00,0.00
input_size=16000000,fp32,4.2200,0.4594,0.3447,nan,nan,9.19,12.24,0.00,0.00
input_size=17000000,fp16,4.5460,0.3268,0.4836,nan,nan,13.91,9.40,0.00,0.00
input_size=17000000,fp32,4.4834,0.4877,0.3682,nan,nan,9.19,12.18,0.00,0.00
input_size=18000000,fp16,4.8135,0.3457,0.5097,nan,nan,13.92,9.44,0.00,0.00
input_size=18000000,fp32,4.7466,0.5158,0.3880,nan,nan,9.20,12.23,0.00,0.00
input_size=19000000,fp16,5.0806,0.3645,0.5349,nan,nan,13.94,9.50,0.00,0.00
input_size=19000000,fp32,5.0101,0.5440,0.4076,nan,nan,9.21,12.29,0.00,0.00
input_size=20000000,fp16,5.3480,0.3835,0.5621,nan,nan,13.95,9.51,0.00,0.00
input_size=20000000,fp32,5.2735,0.5729,0.4274,nan,nan,9.20,12.34,0.00,0.00
