params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile,triton_vs_cutile,torch_nki_ms,nki_ms,speedup_nki
n=2500000,fp16,0.0042,0.0030,0.0044,1.38,0.96,1.4411,1.6617,0.5135,3.24
n=2500000,bf16,0.0042,0.0032,0.0045,1.31,0.94,1.3931,1.6617,0.5134,3.24
n=2500000,fp32,0.0049,0.0046,0.0053,1.07,0.92,1.1647,1.6673,0.7925,2.10
n=5000000,fp16,0.0063,0.0050,0.0069,1.28,0.92,1.3859,3.3033,0.9051,3.65
n=5000000,bf16,0.0065,0.0050,0.0071,1.30,0.92,1.4162,3.3035,0.9052,3.65
n=5000000,fp32,0.0085,0.0082,0.0088,1.04,0.97,1.0778,3.3104,1.7054,1.94
n=7500000,fp16,0.0089,0.0072,0.0098,1.25,0.92,1.3633,5.2096,1.4357,3.63
n=7500000,bf16,0.0091,0.0071,0.0098,1.28,0.93,1.3800,5.2095,1.4356,3.63
n=7500000,fp32,0.0118,0.0115,0.0122,1.03,0.97,1.0645,4.9729,2.5164,1.98
n=10000000,fp16,0.0113,0.0092,0.0126,1.23,0.90,1.3685,0.0834,0.3167,0.26
n=10000000,bf16,0.0115,0.0092,0.0125,1.25,0.92,1.3524,0.0835,0.3167,0.26
n=10000000,fp32,0.0147,0.0145,0.0153,1.02,0.96,1.0531,0.1504,0.6314,0.24
n=12500000,fp16,0.0136,0.0111,0.0150,1.23,0.91,1.3521,8.2095,1.9454,4.22
n=12500000,bf16,0.0139,0.0111,0.0151,1.25,0.93,1.3511,8.2096,1.9448,4.22
n=12500000,fp32,0.0176,0.0175,0.0183,1.00,0.96,1.0446,8.2613,3.8989,2.12
n=15000000,fp16,0.0158,0.0128,0.0175,1.24,0.90,1.3729,9.9063,2.9963,3.31
n=15000000,bf16,0.0161,0.0130,0.0176,1.25,0.92,1.3568,9.8745,2.9962,3.30
n=15000000,fp32,0.0212,0.0208,0.0215,1.02,0.99,1.0316,9.9070,5.7049,1.74
n=17500000,fp16,0.0180,0.0144,0.0199,1.25,0.90,1.3824,11.4838,2.9526,3.89
n=17500000,bf16,0.0182,0.0146,0.0200,1.25,0.91,1.3707,11.5194,2.9542,3.90
n=17500000,fp32,0.0235,0.0233,0.0242,1.01,0.97,1.0390,12.3818,5.5123,2.25
n=20000000,fp16,0.0200,0.0161,0.0224,1.24,0.89,1.3862,0.1581,0.6269,0.25
n=20000000,bf16,0.0204,0.0163,0.0224,1.25,0.91,1.3753,0.1581,0.6269,0.25
n=20000000,fp32,0.0266,0.0264,0.0273,1.01,0.98,1.0331,0.2885,1.2506,0.23
n=22500000,fp16,0.0221,0.0178,0.0248,1.24,0.89,1.3889,14.8598,3.7490,3.96
n=22500000,bf16,0.0227,0.0181,0.0248,1.25,0.91,1.3718,14.8597,3.7486,3.96
n=22500000,fp32,0.0291,0.0291,0.0305,1.00,0.95,1.0499,23.7367,17.8483,1.33
n=25000000,fp16,0.0243,0.0195,0.0272,1.24,0.89,1.3925,16.4008,4.7991,3.42
n=25000000,bf16,0.0248,0.0198,0.0273,1.25,0.91,1.3819,16.4515,4.7988,3.43
n=25000000,fp32,0.0319,0.0320,0.0333,1.00,0.96,1.0399,26.3633,19.5446,1.35
