params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile,triton_vs_cutile
seq_len=1024,fp16,0.0506,0.0939,0.0992,0.54,0.51,1.0564
seq_len=2048,fp16,0.1400,0.2706,0.2787,0.52,0.50,1.0299
seq_len=3072,fp16,0.2988,0.5406,0.5394,0.55,0.55,0.9978
seq_len=4096,fp16,0.5174,0.9029,0.8827,0.57,0.59,0.9776
seq_len=5120,fp16,0.7870,1.3630,1.3083,0.58,0.60,0.9599
seq_len=6144,fp16,1.2670,1.9275,1.8174,0.66,0.70,0.9429
seq_len=7168,fp16,1.7481,2.5949,2.4165,0.67,0.72,0.9312
seq_len=8192,fp16,2.3176,3.3644,3.1189,0.69,0.74,0.9270
seq_len=9216,fp16,2.9370,4.2393,3.9311,0.69,0.75,0.9273
seq_len=10240,fp16,3.5503,5.2395,4.8084,0.68,0.74,0.9177
seq_len=11264,fp16,4.4685,6.3412,5.7913,0.70,0.77,0.9133
seq_len=12288,fp16,5.4221,7.5024,6.8735,0.72,0.79,0.9162
seq_len=13312,fp16,6.2899,8.7888,8.0305,0.72,0.78,0.9137
seq_len=14336,fp16,7.3540,10.1550,9.2652,0.72,0.79,0.9124
seq_len=15360,fp16,8.4859,11.6329,10.5853,0.73,0.80,0.9099
seq_len=16384,fp16,9.6732,13.2120,12.0359,0.73,0.80,0.9110
seq_len=17408,fp16,11.0301,14.8978,13.5335,0.74,0.82,0.9084
seq_len=18432,fp16,12.3489,16.6532,15.1494,0.74,0.82,0.9097
seq_len=19456,fp16,13.6003,18.5317,16.8389,0.73,0.81,0.9087
seq_len=20480,fp16,15.2322,20.4926,18.6491,0.74,0.82,0.9100
