op,mean_speedup_triton,mean_speedup_cutile,median_speedup_triton,median_speedup_cutile,n_cases
matmul_fp32_fp16_fp8,11.1554,24.4460,17.9000,26.3600,80
batched_matmul,3.6030,4.2530,3.9400,5.0300,60
weight_dequant,17.7002,9.0455,18.3100,9.7000,60
1d_conv,4.5728,9.3402,4.6000,9.2000,40
block_sparse_attention,314.2345,89.4870,353.7400,99.9900,20
l2_norm,6.9815,5.6282,8.7300,6.4800,60
linear_self_attention,0.2720,0.0790,0.1800,0.0400,20
mean_reduction,6.1275,3.6865,8.0100,3.6600,60
moe_topk_gating,4.1273,3.4850,3.3300,2.7900,60
streamk_matmul,0.8283,0.5297,0.4300,0.0700,60
