params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile,triton_vs_cutile,tilelang_ms,speedup_tilelang
N=1024,fp16,0.0086,0.0067,0.0066,1.27,1.29,0.9834,0.0050,1.72
N=1024,fp32,0.0087,0.0071,0.0064,1.24,1.37,0.9035,0.0051,1.71
N=2048,fp16,0.0141,0.0119,0.0117,1.18,1.20,0.9855,0.0092,1.53
N=2048,fp32,0.0135,0.0121,0.0119,1.12,1.13,0.9898,0.0099,1.36
N=3072,fp16,0.0197,0.0178,0.0211,1.11,0.93,1.1866,0.0127,1.47
N=3072,fp32,0.0196,0.0180,0.0172,1.09,1.14,0.9524,0.0148,1.33
N=4096,fp16,0.0226,0.0217,0.0231,1.04,0.98,1.0624,0.0158,1.43
N=4096,fp32,0.0253,0.0227,0.0239,1.12,1.06,1.0532,0.0192,1.31
N=5120,fp16,0.0299,0.0280,0.0298,1.07,1.00,1.0621,0.0198,1.51
N=5120,fp32,0.0319,0.0278,0.0293,1.15,1.09,1.0545,0.0245,1.30
N=6144,fp16,0.0347,0.0340,0.0359,1.02,0.97,1.0562,0.0289,1.19
N=6144,fp32,0.0373,0.0324,0.0341,1.15,1.09,1.0535,0.0388,0.96
N=7168,fp16,0.0399,0.0380,0.0403,1.05,0.99,1.0605,0.0284,1.41
N=7168,fp32,0.0435,0.0376,0.0395,1.16,1.10,1.0494,0.0276,1.58
N=8192,fp16,0.0291,0.0430,0.0455,0.68,0.64,1.0581,0.0311,0.94
N=8192,fp32,0.0307,0.0422,0.0444,0.73,0.69,1.0512,0.0310,0.99
N=9216,fp16,0.0314,0.0475,0.0502,0.66,0.63,1.0577,0.0351,0.90
N=9216,fp32,0.0337,0.0473,0.0497,0.71,0.68,1.0494,0.0346,0.97
N=10240,fp16,0.0329,0.0527,0.0557,0.63,0.59,1.0576,0.0386,0.85
N=10240,fp32,0.0351,0.0520,0.0547,0.68,0.64,1.0522,0.0381,0.92
N=11264,fp16,0.0350,0.0573,0.0606,0.61,0.58,1.0571,0.0422,0.83
N=11264,fp32,0.0383,0.0570,0.0600,0.67,0.64,1.0520,0.0416,0.92
N=12288,fp16,0.0364,0.0615,0.0650,0.59,0.56,1.0572,0.0455,0.80
N=12288,fp32,0.0396,0.0618,0.0650,0.64,0.61,1.0518,0.0449,0.88
N=13312,fp16,0.0385,0.0667,0.0705,0.58,0.55,1.0565,0.0492,0.78
N=13312,fp32,0.0426,0.0667,0.0701,0.64,0.61,1.0502,0.0485,0.88
N=14336,fp16,0.0399,0.0717,0.0757,0.56,0.53,1.0571,0.0529,0.75
N=14336,fp32,0.0438,0.0713,0.0749,0.61,0.58,1.0514,0.0518,0.84
N=15360,fp16,0.0420,0.0765,0.0808,0.55,0.52,1.0560,0.0565,0.74
N=15360,fp32,0.0468,0.0762,0.0800,0.61,0.59,1.0499,0.0553,0.85
N=16384,fp16,0.0433,0.0810,0.0856,0.54,0.51,1.0568,0.0596,0.73
N=16384,fp32,0.0480,0.0807,0.0850,0.59,0.57,1.0522,0.0588,0.82
N=17408,fp16,0.0455,0.0862,0.0911,0.53,0.50,1.0568,0.0635,0.72
N=17408,fp32,0.0504,0.0857,0.0901,0.59,0.56,1.0514,0.0623,0.81
N=18432,fp16,0.0468,0.0911,0.0961,0.51,0.49,1.0552,0.0669,0.70
N=18432,fp32,0.0511,0.0904,0.0951,0.57,0.54,1.0525,0.0658,0.77
N=19456,fp16,0.0489,0.0957,0.1010,0.51,0.48,1.0562,0.0702,0.70
N=19456,fp32,0.0535,0.0952,0.1002,0.56,0.53,1.0525,0.0692,0.77
N=20480,fp16,0.0503,0.1000,0.1058,0.50,0.48,1.0571,0.0736,0.68
N=20480,fp32,0.0544,0.1000,0.1053,0.54,0.52,1.0536,0.0727,0.75
