"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value","Rule Name","Rule Type","Rule Description","Estimated Speedup Type","Estimated Speedup"
"0","837599","python3.10","127.0.0.1","add_kernel","1","7","(256, 1, 1)","(20480, 1, 1)","0","8.9","GPU Speed Of Light Throughput","DRAM Frequency","Ghz","8.24",
"0","837599","python3.10","127.0.0.1","add_kernel","1","7","(256, 1, 1)","(20480, 1, 1)","0","8.9","GPU Speed Of Light Throughput","SM Frequency","Ghz","1.83",
"0","837599","python3.10","127.0.0.1","add_kernel","1","7","(256, 1, 1)","(20480, 1, 1)","0","8.9","GPU Speed Of Light Throughput","Elapsed Cycles","cycle","1765850",
"0","837599","python3.10","127.0.0.1","add_kernel","1","7","(256, 1, 1)","(20480, 1, 1)","0","8.9","GPU Speed Of Light Throughput","Memory Throughput","%","95.81",
"0","837599","python3.10","127.0.0.1","add_kernel","1","7","(256, 1, 1)","(20480, 1, 1)","0","8.9","GPU Speed Of Light Throughput","DRAM Throughput","%","95.81",
"0","837599","python3.10","127.0.0.1","add_kernel","1","7","(256, 1, 1)","(20480, 1, 1)","0","8.9","GPU Speed Of Light Throughput","Duration","us","964.99",
"0","837599","python3.10","127.0.0.1","add_kernel","1","7","(256, 1, 1)","(20480, 1, 1)","0","8.9","GPU Speed Of Light Throughput","L1/TEX Cache Throughput","%","16.30",
"0","837599","python3.10","127.0.0.1","add_kernel","1","7","(256, 1, 1)","(20480, 1, 1)","0","8.9","GPU Speed Of Light Throughput","L2 Cache Throughput","%","47.32",
"0","837599","python3.10","127.0.0.1","add_kernel","1","7","(256, 1, 1)","(20480, 1, 1)","0","8.9","GPU Speed Of Light Throughput","SM Active Cycles","cycle","1761458.88",
"0","837599","python3.10","127.0.0.1","add_kernel","1","7","(256, 1, 1)","(20480, 1, 1)","0","8.9","GPU Speed Of Light Throughput","Compute (SM) Throughput","%","3.09",
"0","837599","python3.10","127.0.0.1","add_kernel","1","7","(256, 1, 1)","(20480, 1, 1)","0","8.9","SpeedOfLight","","","","SOLBottleneck","INF","The kernel is utilizing greater than 80.0% of the available compute or memory performance of the device. To further improve performance, work will likely need to be shifted from the most utilized to another unit. Start by analyzing DRAM in the Memory Workload Analysis section.","",""
"0","837599","python3.10","127.0.0.1","add_kernel","1","7","(256, 1, 1)","(20480, 1, 1)","0","8.9","SpeedOfLight_RooflineChart","","","","SOLFPRoofline","INF","The ratio of peak float (fp32) to double (fp64) performance on this device is 64:1. The kernel achieved  close to 0% of this device's fp32 peak performance and 0% of its fp64 peak performance. See the Kernel Profiling Guide (https://docs.nvidia.com/nsight-compute/ProfilingGuide/index.html#roofline) for more details on roofline analysis.","",""
"0","837599","python3.10","127.0.0.1","add_kernel","1","7","(256, 1, 1)","(20480, 1, 1)","0","8.9","PM Sampling","Maximum Buffer Size","Mbyte","4.19",
"0","837599","python3.10","127.0.0.1","add_kernel","1","7","(256, 1, 1)","(20480, 1, 1)","0","8.9","PM Sampling","Dropped Samples","sample","0",
"0","837599","python3.10","127.0.0.1","add_kernel","1","7","(256, 1, 1)","(20480, 1, 1)","0","8.9","PM Sampling","Maximum Sampling Interval","us","1",
"0","837599","python3.10","127.0.0.1","add_kernel","1","7","(256, 1, 1)","(20480, 1, 1)","0","8.9","PM Sampling","# Pass Groups","","2",
"0","837599","python3.10","127.0.0.1","add_kernel","1","7","(256, 1, 1)","(20480, 1, 1)","0","8.9","Compute Workload Analysis","Executed Ipc Active","inst/cycle","0.10",
"0","837599","python3.10","127.0.0.1","add_kernel","1","7","(256, 1, 1)","(20480, 1, 1)","0","8.9","Compute Workload Analysis","Executed Ipc Elapsed","inst/cycle","0.10",
"0","837599","python3.10","127.0.0.1","add_kernel","1","7","(256, 1, 1)","(20480, 1, 1)","0","8.9","Compute Workload Analysis","Issue Slots Busy","%","2.43",
"0","837599","python3.10","127.0.0.1","add_kernel","1","7","(256, 1, 1)","(20480, 1, 1)","0","8.9","Compute Workload Analysis","Issued Ipc Active","inst/cycle","0.10",
"0","837599","python3.10","127.0.0.1","add_kernel","1","7","(256, 1, 1)","(20480, 1, 1)","0","8.9","Compute Workload Analysis","SM Busy","%","2.43",
"0","837599","python3.10","127.0.0.1","add_kernel","1","7","(256, 1, 1)","(20480, 1, 1)","0","8.9","ComputeWorkloadAnalysis","","","","HighPipeUtilization","OPT","All compute pipelines are under-utilized. Either this workload is very small or it doesn't issue enough warps per scheduler. Check the Launch Statistics and Scheduler Statistics sections for further details.","local","98.84"
